Coronavirus disease (COVID-19),,
Situation Report – 102,,
"Data as received by WHO from national authorities by 10:00 CEST, 1 May 2020",,
This report has been reformatted to improve accessibility for persons with visual impairment.,,
Highlights,,
Two new Member States (Comoros and Tajikistan) reported cases of COVID-19 in the past 24 hours.,,
The third meeting of the Emergency Committee was convened by the WHO Director-General under the,,
International Health Regulations (2005) (IHR) regarding COVID-19.,,
"The WHO Regional Director for Europe, Dr. Hans Henri P. Kluge mentioned that “we will defeat COVID-",,
"19 by disseminating knowledge in all transparency, by personalized support in the field and by",,
"unfailing solidarity”. In another statement, he emphasized that “we cannot allow the impact of COVID-",,
19 to be amplified by neglecting other vital health protection measures”.,,
The WHO Regional Office for the Americas urged health authorities to take specific steps to protect,,
health care workers and communities during essential immunization activities throughout the COVID-,,
19 pandemic.,,
WHO virtually convened vaccine manufacturers and national regulatory authorities from its South-,,
East Asia Region to discuss COVID-19 vaccines.,,
"In the Subject in Focus below, we describe WHO’s work to ensure that shipping and seafarers can",,
"continue to deliver vital goods, including medical supplies and food during the COVID-19 pandemic",,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,3 175 207 cases (84 771),224 172 deaths (6403)
Africa,26 663 cases (1950),973 deaths (35)
Americas,1 291 917 cases (45 727),69 087 deaths (3859)
Eastern Mediterranean,188 585 cases (6168),7598 deaths (151)
Europe,1 461 404 cases (26764),138 200 deaths (2239)
South-East Asia,57 088 cases (3067),2174 deaths (86)
Western Pacific,148 838 cases (1095),6127 deaths (33)

Subject in focus
"Partnership coordination to facilitate ship movements during COVID-19, including the issuance of Ship"
Sanitation Certificates
"On April 22, 2020 the Directors-General of the World Health Organization (WHO) and the"
International Labour Organization (ILO) and the Secretary-General of the International Maritime
"Organization (IMO) issued a joint statement on medical certificates of seafarers, ship sanitation"
"certificates and medical care of seafarers in the context of the COVID-19 pandemic. WHO, IMO"
"and the ILO, in cooperation with international seafarers’ and ship-owners’ organizations, are"
"working together to ensure the ability of shipping and seafarers to continue to deliver vital goods,"
including medical supplies and food.
"In the statement, the three organizations strongly encourage governments to facilitate ship"
"movements, including docking, crew changes, ship inspection and the issuance of Ship Sanitation"
Certificates (SSCs) during the COVID-19 pandemic.
"Under the framework of the International Health Regulations (IHR) (2005), State Parties are"
"required to authorize ports to conduct ship inspections and issue Ship Sanitation Certificates, as"
"well as to provide the services referred to in Annex 1 of the IHR, which expands on an important set"
of core capacities for points of entry. The scope of the application of SSCs is delineated in the WHO
Handbook for inspection of ships and issuance of ship sanitation certificates. A ship without a valid
SSC (e.g. carrying an expired SSC) is considered an ‘affected’ ship and is subject to health
"measures, as deemed necessary by the health authorities, to prevent the spread of diseases."
The SSCs are valid for a maximum period of six months and this period may be extended by one
month if the inspection or control measures required cannot be accomplished at the port.
"However, in the current situation, renewals of SSCs may not be possible at ports due to port"
closures and other restriction measures put in place by countries. This in turn could impede the
movement of ships as ships without SSCs are considered ‘affected’. To facilitate the renewal of
"ship sanitation certificates and prevent unnecessary interference to international maritime traffic,"
extraordinary temporary measures have been introduced. These are referred to in the joint
"statement with regard to the renewal of SSCs, as well as ship inspections, and protective"
measures against COVID-19.

Surveillance
"Figure 1. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 25 April to 1 May*"
"*See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December 2019 through 1 May 2020*"
"*See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST, 1 May 2020*",,,,,,
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
El Salvador,395,18,9,0,Clusters of cases,0
"Venezuela (Bolivarian Republic
of)",331,2,10,0,Clusters of cases,0
Paraguay,249,10,9,0,Community transmission,0
Trinidad and Tobago,116,0,8,0,Sporadic cases,3
Bahamas,80,0,11,0,Clusters of cases,3
Barbados,80,0,7,1,Clusters of cases,2
Guyana,78,3,8,0,Clusters of cases,0
Haiti,76,0,7,1,Clusters of cases,2
Antigua and Barbuda,24,0,3,0,Clusters of cases,8
Grenada,20,1,0,0,Clusters of cases,0
Belize,18,0,2,0,Sporadic cases,16
Saint Lucia,17,0,0,0,Sporadic cases,1
Dominica,16,0,0,0,Clusters of cases,20
"Saint Vincent and the
Grenadines",16,0,0,0,Sporadic cases,1
Saint Kitts and Nevis,15,0,0,0,Sporadic cases,10
Nicaragua,14,1,4,1,Pending,0
Suriname,10,0,1,0,Sporadic cases,27
Territoriesii,,,,,,
Puerto Rico,1539,106,54,0,Clusters of cases,0
Martinique,178,3,14,0,Clusters of cases,0
Guadeloupe,152,1,12,1,Clusters of cases,0
French Guiana,126,1,1,0,Clusters of cases,0

Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Bermuda,111,0,6,0,Clusters of cases,1
Aruba,100,0,2,0,Clusters of cases,8
Sint Maarten,76,1,13,0,Clusters of cases,0
Cayman Islands,73,0,1,0,Clusters of cases,1
United States Virgin Islands,66,4,4,0,Clusters of cases,0
Saint Martin,38,0,3,0,Sporadic cases,8
Curaçao,16,0,1,0,Sporadic cases,3
Falkland Islands (Malvinas),13,0,0,0,Clusters of cases,5
Turks and Caicos Islands,12,0,1,0,Sporadic cases,3
Montserrat,11,0,1,0,Sporadic cases,17
"Bonaire, Sint Eustatius and
Saba",6,0,0,0,Sporadic cases,3
British Virgin Islands,6,0,1,0,Sporadic cases,5
Saint Barthélemy,6,0,0,0,Sporadic cases,31
Anguilla,3,0,0,0,Sporadic cases,27
Saint Pierre and Miquelon,1,0,0,0,Sporadic cases,23
Eastern Mediterranean,,,,,,
Iran (Islamic Republic of),94640,983,6028,71,Community transmission,0
Saudi Arabia,22753,1351,162,5,Clusters of cases,0
Pakistan,16817,1058,385,39,Clusters of cases,0
Qatar,13409,845,10,0,Pending,0
United Arab Emirates,12481,552,105,7,Pending,0
Egypt,5537,269,392,12,Clusters of cases,0
Morocco,4423,64,170,2,Clusters of cases,0

Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Kuwait,4024,284,26,2,Clusters of cases,0
Bahrain,3040,119,8,0,Clusters of cases,0
Oman,2447,99,11,1,Clusters of cases,0
Afghanistan,2171,344,64,4,Clusters of cases,0
Iraq,2085,82,93,1,Clusters of cases,0
Djibouti,1089,12,2,0,Clusters of cases,0
Tunisia,994,14,41,1,Community transmission,0
Lebanon,725,4,24,0,Clusters of cases,0
Somalia,601,19,28,0,Sporadic cases,0
Jordan,453,2,8,0,Clusters of cases,0
Sudan,442,67,31,3,Sporadic cases,0
Libya,61,0,3,1,Clusters of cases,6
Syrian Arab Republic,43,0,3,0,Community transmission,3
Yemen,6,0,2,2,Pending,1
Territoriesii,,,,,,
occupied Palestinian territory,344,0,2,0,Clusters of cases,1
Europe,,,,,,
Spain,213435,518,24543,268,Community transmission,0
Italy,205463,1872,27967,285,Community transmission,0
The United Kingdom,171257,6032,26771,674,Community transmission,0
Germany,159119,0,6288,0,Community transmission,1
France,128121,1055,24342,288,Community transmission,0
Turkey,120204,2615,3174,93,Community transmission,0
Russian Federation,114431,7933,1169,96,Clusters of cases,0

Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Belgium,48519,660,7594,93,Community transmission,0
Netherlands,39316,514,4795,84,Community transmission,0
Switzerland,29503,179,1422,15,Community transmission,0
Portugal,25056,551,989,16,Community transmission,0
Sweden,21092,790,2586,124,Community transmission,0
Ireland,20612,359,1232,42,Community transmission,0
Israel,16004,222,223,11,Pending,0
Austria,15457,93,584,4,Community transmission,0
Belarus,14027,846,89,5,Clusters of cases,0
Poland,12877,237,644,20,Community transmission,0
Romania,12240,262,717,42,Community transmission,0
Ukraine,10861,455,272,11,Community transmission,0
Denmark,9158,150,452,9,Pending,0
Serbia,9009,285,179,6,Pending,0
Norway,7710,43,204,2,Pending,0
Czechia,7682,103,236,9,Community transmission,0
Finland,4995,89,211,5,Pending,0
Republic of Moldova,3897,126,119,3,Pending,0
Luxembourg,3784,15,90,1,Pending,0
Kazakhstan,3551,218,25,0,Pending,0
Hungary,2863,88,323,11,Clusters of cases,0
Greece,2591,15,140,1,Community transmission,0
Armenia,2148,82,33,1,Clusters of cases,0
Croatia,2076,14,69,2,Community transmission,0

Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Uzbekistan,2046,15,9,0,Clusters of cases,0
Azerbaijan,1804,38,24,1,Clusters of cases,0
Iceland,1797,0,10,0,Community transmission,1
Bosnia and Herzegovina,1757,68,68,4,Community transmission,0
Estonia,1689,23,52,2,Pending,0
Bulgaria,1506,59,66,2,Pending,0
North Macedonia,1465,23,77,4,Clusters of cases,0
Slovenia,1429,11,91,2,Community transmission,0
Slovakia,1396,5,23,1,Clusters of cases,0
Lithuania,1385,10,45,0,Community transmission,0
Latvia,858,9,15,0,Community transmission,0
Cyprus,850,7,20,0,Clusters of cases,0
Albania,773,0,31,0,Clusters of cases,1
Kyrgyzstan,756,10,8,0,Clusters of cases,0
Andorra,746,2,42,1,Community transmission,0
San Marino,569,6,41,0,Community transmission,0
Georgia,566,27,6,0,Community transmission,0
Malta,465,2,4,0,Pending,0
Montenegro,322,0,7,0,Clusters of cases,1
Liechtenstein,83,0,1,0,Pending,5
Monaco,68,0,1,0,Sporadic cases,17
Tajikistan,15,15,0,0,Pending,0
Holy See,11,1,0,0,Sporadic cases,0

Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Territoriesii,,,,,,
Kosovo[1],799,0,22,0,Community transmission,1
Isle of Man,311,2,22,1,Pending,0
Jersey,290,6,20,0,Pending,0
Guernsey,251,4,13,0,Community transmission,0
Faroe Islands,187,0,0,0,Pending,7
Gibraltar,141,0,0,0,Clusters of cases,4
Greenland,11,0,0,0,Pending,25
South-East Asia,,,,,,
India,35043,1993,1147,73,Clusters of cases,0
Indonesia,10118,347,792,8,Community transmission,0
Bangladesh,7667,564,168,5,Pending,0
Thailand,2960,6,54,0,Clusters of cases,0
Sri Lanka,665,16,7,0,Clusters of cases,0
Maldives,396,140,0,0,Clusters of cases,0
Myanmar,151,1,6,0,Clusters of cases,0
Nepal,57,0,0,0,Sporadic cases,1
Timor-Leste,24,0,0,0,Clusters of cases,7
Bhutan,7,0,0,0,Sporadic cases,8
Western Pacific,,,,,,
China,84385,12,4643,0,Clusters of cases,0
Singapore,16169,528,15,1,Clusters of cases,0
Japan,14281,193,432,17,Clusters of cases,0
Republic of Korea,10774,9,248,1,Clusters of cases,0

Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Philippines,8488,276,568,10,Clusters of cases,0
Australia,6762,16,92,2,Clusters of cases,0
Malaysia,6002,57,102,2,Clusters of cases,0
New Zealand,1132,3,19,0,Clusters of cases,0
Viet Nam,270,0,0,0,Clusters of cases,6
Brunei Darussalam,138,0,1,0,Sporadic cases,11
Cambodia,122,0,0,0,Sporadic cases,19
Mongolia,38,0,0,0,Sporadic cases,4
"Lao People's Democratic
Republic",19,0,0,0,Sporadic cases,18
Fiji,18,0,0,0,Sporadic cases,10
Papua New Guinea,8,0,0,0,Sporadic cases,8
Territoriesii,,,,,,
Guam,142,1,5,0,Clusters of cases,0
French Polynesia,58,0,0,0,Sporadic cases,3
New Caledonia,18,0,0,0,Sporadic cases,28
Northern Mariana Islands,,,,,,
(Commonwealth of the),14,0,2,0,Pending,13
Subtotal for all regions,3 174 495,84 771,22 4159,6403,,
Other*,,-,,,,46
,712,0,13,0,,
Grand total,3 175 207,84 771,224 172,6403,,
"*See Annex 1 for data, table and figure notes.",,,,,,

Technical guidance and other resources,,,,
–,"To view all technical guidance documents regarding COVID-19, please go to this webpage.",,,
–,Updates from WHO regional offices,,,
,–,WHO AFRO,–,WHO PAHO
,–,WHO EMRO,–,WHO SEARO
,–,WHO EURO,–,WHO WPRO
–,Research and Development,,,
–,Online courses on COVID-19 and in additional national languages,,,
–,The Strategic Preparedness and Response Plan (SPRP) outlining the support the international,,,
,community can provide to all countries to prepare and respond to the virus.,,,
–,WHO Health Emergency dashboard,,,
–,Weekly COVID-19 Operations Updates,,,
Recommendations and advice for the public,,,,
–,Protect yourself.,,,
–,Questions and answers,,,
–,Travel advice,,,
–,"EPI-WIN: tailored information for individuals, organizations and communities",,,
Case definitions,,,,
WHO periodically updates the Global Surveillance for human infection with coronavirus disease,,,,
(COVID-19) document which includes surveillance definitions.,,,,
Definition of COVID-19 death,,,,
COVID-19 death is defined for surveillance purposes as a death resulting from a clinically,,,,
"compatible illness in a probable or confirmed COVID-19 case, unless there is a clear alternative",,,,
cause of death that cannot be related to COVID disease (e.g. trauma). There should be no period of,,,,
complete recovery between the illness and death.,,,,

"Annex 1: Data, table and figure notes",
Caution must be taken when interpreting all data presented. Differences are to be expected,
"between information products published by WHO, national public health authorities, and other",
sources using different inclusion criteria and different data cut-off times. While steps are taken to,
"ensure accuracy and reliability, all data are subject to continuous verification and change. Case",
"detection, definitions, testing strategies, reporting practice, and lag times differ between",
"countries/territories/areas. These factors, amongst others, influence the counts presented with",
"variable underestimation of true case and death counts, and variable delays to reflecting these data",
at global level.,
"The designations employed, and the presentation of these materials do not imply the expression of",
"any opinion whatsoever on the part of WHO concerning the legal status of any country, territory or",
"area or of its authorities, or concerning the delimitation of its frontiers or boundaries. Dotted and",
dashed lines on maps represent approximate border lines for which there may not yet be full,
"agreement. Countries, territories and areas are arranged under the administering WHO region.",
[1] All references to Kosovo should be understood to be in the context of the United Nations Security,
Council resolution 1244 (1999).,
"In the map, number of cases of Serbia and Kosovo (UNSCR 1244, 1999) have been aggregated for",
visualization purposes.,
"Counts reflect laboratory-confirmed cases and deaths, based on WHO case definitions unless stated",
"otherwise (see Country, territory, or area-specific updates and errata), and include both domestic",
and repatriated cases.,
Other*: includes cases and deaths reported under the international conveyance (Diamond,
Princess).,
Additional table notes,
i Transmissionclassification is based on a process of country/territory/area self-reporting.,
"Classifications are reviewed on a weekly basis, may be revised as new information becomes",
"available, and are based on the highest category reported. Differing degrees of transmission may be",
present within countries/territories/areas. Categories:,
•,No cases: with no confirmed cases (not shown in table).
•,"Sporadic cases: with one or more cases, imported or locally detected."
•,"Clusters of cases: experiencing cases, clustered in time, geographic location and/or by common"
,exposures.
•,Community transmission: experiencing larger outbreaks of local transmission defined through
,"an assessment of factors including, but not limited to: large numbers of cases not linkable to"
,transmission chains; large numbers of cases from sentinel lab surveillance; and/or multiple
,unrelated clusters in several areas of the country/territory/area.
•,Pending: transmission classification not been reported to WHO.
"ii “Territories”include territories, areas, overseas dependencies and other jurisdictions of similar",
status.,
"Country, territory, or area-specific updates and errata",
"Erratum 1 May 2020, Map (figure 1): Russian Federation was erroneously shown as ‘no cases",
reported in last 7 days’. This has been corrected here.,
