Coronavirus disease,,
(COVID-19),,
Situation Report – 178,,
"Data as received by WHO from national authorities by 10:00 CEST, 16 July 2020",,
Highlights,,
75 countries have submitted expressions of interest to protect their populations and those,,
"of other nations through joining the COVAX Facility, a mechanism designed to guarantee",,
"rapid, fair and equitable access to COVID-19 vaccines worldwide. The goal of COVAX is to",,
"deliver two billion doses of safe, effective vaccines that have passed regulatory approval and/or",,
WHO prequalification.,,
"WHO and UNICEF have warned of a decline in vaccinations, due to disruptions in delivery",,
caused by the COVID-19 pandemic. UNICEF Executive Director Henrietta Fore noted that,,
“COVID-19 has made previously routine vaccination a daunting challenge” and stressed that,,
"further impact on vaccine coverage needs to be avoided, otherwise there is a risk of exchanging",,
one crisis for another.,,
"While the world races to find a vaccine to defeat the COVID-19 pandemic, WHO looks back on",,
all that vaccines have achieved for humanity.,,
"In today’s ‘Subject in Focus’ we describe the WHO Unity Study protocols, developed to better",,
understand the characteristics of the COVID-19 virus and the disease it causes.,,
Thank you for reading the WHO COVID-19 Situation Report! We would greatly appreciate any,,
feedback and suggestions you may have on these reports via a short anonymous survey.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,13 378 853 cases (226 181),580 045 deaths (5 579)
Africa,523 403 cases (17 279),8 819 deaths (172)
Americas,7 016 851 cases (132 700),294 301 deaths (3 627)
Eastern Mediterranean,1 331 893 cases (14 815),32 776 deaths (482)
Europe,2 987 256 cases (21 183),205 006 deaths (552)
South-East Asia,1 268 923 cases (37 909),31 297 deaths (727)
Western Pacific,249 786 cases (2 295),7 833 deaths (19)

Subject in Focus: Unity studies: Early epidemiological investigations
for COVID-19
"The identification of any new pathogen, such as SARS-CoV-2, the virus that causes COVID-19,"
"is accompanied by many unknowns. Six months into the pandemic, there are certain"
"characteristics of the virus and the disease it causes that remain unclear, particularly its ability"
to spread in the human population and its virulence. To enhance understanding of the
"characteristics of the COVID-19 (SARS-CoV-2) virus and the disease it causes, WHO has"
"developed a series of early epidemiological protocols, the WHO Unity studies. These protocols"
"enable analysis of the local context, as well as comparison across different settings."
The six currently available WHO Unity study protocols help countries to understand infection
"amongst close contacts of cases, health workers, or members of households; to understand"
the extent of infection in the population; and to determine the presence of the virus on
different surfaces and environments. The results of these studies help countries to inform
public health and social measures to limit further spread of the virus.
"To date, 47 countries have implemented at least one of the Unity study protocols. An"
additional 46 countries have expressed their intent to implement them. More than half of the
"countries implementing the protocols (55%) are low- and middle-income countries, providing"
an invaluable tool for enhanced surveillance and research equity.
"WHO supports countries to develop and implement country-specific protocols, support"
"selection of laboratory tests, and ensure comparability of results between countries. WHO has"
also procured and delivered laboratory tests to countries that have begun to implement at
least one of the studies. This represents 35 820 laboratory tests being sent to 12 low- and
"middle-income countries, with further tests to be sent to other countries in the coming"
months. The use of the same laboratory tests across study sites will ensure that the results
from different sites can be compared.
Two protocols are currently being developed in collaboration with technical partners. One will
enable understanding of the extent of infection in schools and other educational institutions.
"The other will address COVID-19 in closed settings, which include long term care facilities,"
"food processing plants, prisons, military barracks, and community venues."

Surveillance
"Figure 1. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 10 July to 16 July **"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December through 16 July**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST,",,,,,,
16 July 2020**,,,,,,
Reporting Country/Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Venezuela (Bolivarian Republic of),10 010,303,96,3,Community transmission,0
Costa Rica,8 482,446,36,5,Community transmission,0

Reporting Country/Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Haiti,6 831,104,143,2,Community transmission,0
Paraguay,3 074,94,25,0,Community transmission,0
Nicaragua,2 712,0,99,0,Community transmission,1
Cuba,2 438,6,87,0,Clusters of cases,0
Uruguay,997,8,31,0,Clusters of cases,0
Suriname,801,21,18,0,Clusters of cases,0
Jamaica,762,3,10,0,Clusters of cases,0
Guyana,308,8,18,1,Clusters of cases,0
Trinidad and Tobago,133,0,8,0,Sporadic cases,9
Bahamas,116,3,11,0,Clusters of cases,0
Barbados,103,0,7,0,Clusters of cases,3
Antigua and Barbuda,74,0,3,0,Clusters of cases,4
Belize,39,2,2,0,Sporadic cases,0
Saint Vincent and the Grenadines,35,0,0,0,Sporadic cases,2
Grenada,23,0,0,0,Clusters of cases,50
Saint Lucia,23,1,0,0,Sporadic cases,0
Dominica,18,0,0,0,Clusters of cases,33
Saint Kitts and Nevis,17,0,0,0,No cases,5
Territoriesii,,,,,,
Puerto Rico,10 379,256,171,2,Community transmission,0
French Guiana,6 299,70,33,2,Community transmission,0
Martinique,255,0,15,0,Clusters of cases,4
United States Virgin Islands,243,37,6,0,Clusters of cases,0
Cayman Islands,203,0,1,0,Clusters of cases,1

Reporting Country/Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Guadeloupe,190,0,14,0,Clusters of cases,5
Bermuda,150,0,9,0,Sporadic cases,4
Aruba,106,1,3,0,Sporadic cases,0
Sint Maarten,79,1,15,0,No cases,0
Turks and Caicos Islands,72,0,2,0,Clusters of cases,2
Saint Martin,44,0,3,0,Sporadic cases,11
Curaçao,26,0,1,0,No cases,2
Falkland Islands (Malvinas),13,0,0,0,No cases,81
Montserrat,12,0,1,0,No cases,5
"Bonaire, Sint Eustatius and Saba",9,0,0,0,No cases,1
British Virgin Islands,8,0,1,0,No cases,61
Saint Barthélemy,6,0,0,0,No cases,107
Anguilla,3,0,0,0,No cases,103
Saint Pierre and Miquelon,2,0,0,0,Sporadic cases,6
Eastern Mediterranean,,,,,,
Iran (Islamic Republic of),264 561,2 388,13 410,199,Community transmission,0
Pakistan,257 914,2 145,5 426,40,Clusters of cases,0
Saudi Arabia,240 474,2 671,2 325,42,Clusters of cases,0
Qatar,104 983,450,151,1,Community transmission,0
Egypt,84 843,913,4 067,59,Clusters of cases,0
Iraq,83 867,2 110,3 432,87,Community transmission,0
Oman,61 247,1 679,281,8,Community transmission,0
Kuwait,56 877,703,399,3,Clusters of cases,0
United Arab Emirates,55 848,275,335,0,Community transmission,0

Reporting Country/Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Afghanistan,35 070,130,1 113,19,Clusters of cases,0
Bahrain,34 560,482,117,6,Clusters of cases,0
Morocco,16 262,165,259,2,Clusters of cases,0
Sudan,10 527,110,668,9,Community transmission,0
Djibouti,4 985,6,56,0,Clusters of cases,0
Somalia,3 083,7,93,0,Sporadic cases,0
Lebanon,2 542,91,38,1,Clusters of cases,0
Libya,1 589,26,43,1,Clusters of cases,0
Yemen,1 530,10,434,4,Community transmission,0
Tunisia,1 319,13,50,0,Sporadic cases,0
Jordan,1 201,3,10,0,Clusters of cases,0
Syrian Arab Republic,458,19,22,1,Community transmission,0
Territoriesii,,,,,,
occupied Palestinian territory,8 153,419,47,0,Clusters of cases,0
Europe,,,,,,
Russian Federation,752 797,6 428,11 937,167,Clusters of cases,0
The United Kingdom,291 915,538,45 053,85,Community transmission,0
Spain,257 494,875,28 413,4,Clusters of cases,0
Italy,243 506,162,34 997,13,Community transmission,0
Turkey,215 940,947,5 419,17,Community transmission,0
Germany,200 260,534,9 078,7,Clusters of cases,0
France,163 157,767,30 015,90,Clusters of cases,0
Sweden,76 492,491,5 572,27,Community transmission,0
Belarus,65 443,174,480,6,Community transmission,0

Reporting Country/Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Kazakhstan,65 188,1 674,375,0,Clusters of cases,0
Belgium,63 039,258,9 792,5,Community transmission,0
Ukraine,56 455,848,1 445,18,Community transmission,0
Netherlands,51 197,106,6 127,0,Community transmission,0
Portugal,47 426,375,1 676,8,Community transmission,0
Israel,42 602,1 573,372,5,Pending,0
Poland,38 780,323,1 594,6,Community transmission,0
Romania,34 226,641,1 952,21,Community transmission,0
Armenia,33 559,554,607,15,Community transmission,0
Switzerland,33 063,132,1 687,0,Community transmission,0
Ireland,25 683,13,1 748,2,Clusters of cases,0
Azerbaijan,25 672,559,326,7,Clusters of cases,0
Republic of Moldova,20 040,332,662,4,Community transmission,0
Serbia,19 334,351,429,11,Community transmission,0
Austria,19 115,55,710,1,Community transmission,0
Uzbekistan,14 787,494,72,4,Clusters of cases,0
Czechia,13 475,134,355,0,Clusters of cases,0
Denmark,13 092,31,610,0,Community transmission,0
Kyrgyzstan,12 498,521,167,7,Clusters of cases,0
Norway,9 001,17,253,0,Clusters of cases,0
North Macedonia,8 522,191,393,4,Clusters of cases,0
Bulgaria,7 877,232,289,6,Clusters of cases,0
Bosnia and Herzegovina,7 407,231,233,4,Community transmission,0
Finland,7 296,0,328,0,Clusters of cases,2

Reporting Country/Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Tajikistan,6 695,52,56,0,Pending,0
Luxembourg,5 056,0,111,0,Community transmission,1
Hungary,4 263,0,595,0,Community transmission,1
Croatia,3 953,126,119,0,Clusters of cases,0
Greece,3 910,27,193,0,Clusters of cases,0
Albania,3 851,99,104,3,Clusters of cases,0
Estonia,2 016,1,69,0,Clusters of cases,0
Slovakia,1 927,19,28,0,Clusters of cases,0
Iceland,1 911,6,10,0,Community transmission,0
Lithuania,1 882,7,79,0,Community transmission,0
Slovenia,1 878,19,111,0,Clusters of cases,0
Montenegro,1 429,142,25,1,Clusters of cases,0
Latvia,1 178,0,31,0,Clusters of cases,1
Cyprus,1 023,1,19,0,Clusters of cases,0
Georgia,1 006,3,15,0,Sporadic cases,0
Andorra,862,1,52,0,Community transmission,0
San Marino,716,0,42,0,Community transmission,6
Malta,674,0,9,0,Sporadic cases,6
Monaco,99,0,1,0,Sporadic cases,39
Liechtenstein,85,0,1,0,Sporadic cases,9
Holy See,12,0,0,0,Sporadic cases,70
Territoriesii,,,,,,
Kosovo[1],,,,,,
,5 194,119,102,4,Community transmission,0

Reporting Country/Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Isle of Man,336,0,24,0,No cases,55
Jersey,329,0,31,0,Community transmission,2
Guernsey,252,0,13,0,Community transmission,74
Faroe Islands,188,0,0,0,Pending,8
Gibraltar,180,0,0,0,Clusters of cases,5
Greenland,13,0,0,0,No cases,48
South-East Asia,,,,,,
India,968 876,32 695,24 915,606,Clusters of cases,0
Bangladesh,193 590,3 533,2 457,33,Community transmission,0
Indonesia,80 094,1 522,3 797,87,Community transmission,0
Nepal,17 177,116,39,1,Clusters of cases,0
Thailand,3 236,4,58,0,Clusters of cases,0
Maldives,2 831,30,14,0,Clusters of cases,0
Sri Lanka,2 674,9,11,0,Clusters of cases,0
Myanmar,337,0,6,0,Clusters of cases,1
Bhutan,84,0,0,0,Sporadic cases,3
Timor-Leste,24,0,0,0,No cases,83
Western Pacific,,,,,,
China,85 697,20,4 651,2,Clusters of cases,0
Philippines,58 850,1 305,1 614,11,Community transmission,0
Singapore,46 879,249,27,0,Clusters of cases,0
Japan,22 890,382,985,1,Clusters of cases,0
Republic of Korea,13 612,61,291,2,Clusters of cases,0

Reporting Country/Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Australia,10 495,244,111,3,Clusters of cases,0
Malaysia,8 734,5,122,0,Clusters of cases,0
New Zealand,1 198,1,22,0,Clusters of cases,0
Viet Nam,381,8,0,0,Clusters of cases,0
Mongolia,261,18,0,0,Sporadic cases,0
Cambodia,166,1,0,0,Sporadic cases,0
Brunei Darussalam,141,0,3,0,No cases,69
Fiji,26,0,0,0,Sporadic cases,4
Lao People's Democratic Republic,19,0,0,0,Sporadic cases,94
Papua New Guinea,11,0,0,0,Sporadic cases,20
Territoriesii,,,,,,
Guam,306,1,5,0,Clusters of cases,0
French Polynesia,62,0,0,0,Sporadic cases,18
Northern Mariana Islands,,,,,,
(Commonwealth of the),36,0,2,0,Pending,1
New Caledonia,22,0,0,0,Sporadic cases,1
Subtotal for all regions,13 378 112,226 181,580 032,5 579,,
Other*,741,0,13,0,Not applicable,-
Grand total,13 378 853,226 181,580 045,5 579,,
"**See Annex 1 for data, table and figure notes.",,,,,,

Technical guidance and other resources,,,,
,"To view all technical guidance documents regarding COVID-19, please go to this webpage.",,,
–,,,,
–,Updates from WHO regional offices,,,
,–,WHO AFRO,–,WHO PAHO
,–,WHO EMRO,–,WHO SEARO
,–,WHO EURO,–,WHO WPRO
–,Research and Development,,,
–,Online courses on COVID-19 and in additional national languages,,,
–,The Strategic Preparedness and Response Plan (SPRP) outlining the support the,,,
,international community can provide to all countries to prepare and respond to the virus,,,
–,WHO Coronavirus Disease (COVID-19) Dashboard,,,
,Weekly COVID-19 Operations Updates,,,
–,,,,
Recommendations and advice for the public,,,,
,Protect yourself,,,
–,,,,
–,Questions and answers,,,
–,Travel advice,,,
,"EPI-WIN: tailored information for individuals, organizations and communities",,,
–,,,,
Case definitions,,,,
WHO periodically updates the Global Surveillance for human infection with coronavirus,,,,
disease (COVID-19) document which includes surveillance definitions.,,,,
Definition of COVID-19 death,,,,
A COVID-19 death is defined for surveillance purposes as a death resulting from a clinically,,,,
"compatible illness in a probable or confirmed COVID-19 case, unless there is a clear alternative",,,,
cause of death that cannot be related to COVID-19 disease (e.g. trauma). There should be no,,,,
period of complete recovery between the illness and death.,,,,
Further guidance for certification and classification (coding) of COVID-19 as cause of death is,,,,
available here and here.,,,,

"Annex 1: Data, table and figure notes"
Caution must be taken when interpreting all data presented. Differences are to be expected
"between information products published by WHO, national public health authorities, and"
other sources using different inclusion criteria and different data cut-off times. While steps
"are taken to ensure accuracy and reliability, all data are subject to continuous verification and"
"change. Case detection, definitions, testing strategies, reporting practice, and lag times differ"
"between countries/territories/areas. These factors, amongst others, influence the counts"
"presented, with variable underestimation of true case and death counts, and variable delays"
to reflecting these data at global level.
"The designations employed, and the presentation of these materials do not imply the"
expression of any opinion whatsoever on the part of WHO concerning the legal status of any
"country, territory or area or of its authorities, or concerning the delimitation of its frontiers or"
boundaries. Dotted and dashed lines on maps represent approximate border lines for which
"there may not yet be full agreement. Countries, territories and areas are arranged under the"
administering WHO region.
The mention of specific companies or of certain manufacturers’ products does not imply that
they are endorsed or recommended by WHO in preference to others of a similar nature that
"are not mentioned. Errors and omissions excepted, the names of proprietary products are"
distinguished by initial capital letters.
[1]All references to Kosovo should be understood to be in the context of the United Nations
"Security Council resolution 1244 (1999). In the map, number of cases of Serbia and Kosovo"
"(UNSCR 1244, 1999) have been aggregated for visualization purposes."
"Counts reflect laboratory-confirmed cases and deaths, based on WHO case"
"definitions, unless stated otherwise (see Country, territory, or area-specific updates and"
"errata), and include both domestic and repatriated cases."
Other*: includes cases reported from international conveyances.
Due to the recent trend of countries conducting data reconciliation exercises which remove
"large numbers of cases or deaths from their total counts, WHO will now display such data as"
negative numbers in the “new cases” / “new deaths” columns as appropriate. This will aid
readers in identifying when such adjustments occur. When additional details become
"available that allow the subtractions to be suitably apportioned to previous days, graphics will"
be updated accordingly. Prior situation reports will not be edited; see covid19.who.int for the
most up-to-date data.

Additional table notes,
iTransmission classification is based on a process of country/territory/area self-reporting.,
Classifications are reviewed on a weekly basis and may be revised as new information,
becomes available. Differing degrees of transmission may be present within,
countries/territories/areas; classification is based on the highest category reported within a,
country/territory/area. Categories:,
•,No cases: with no confirmed cases;
•,"Sporadic cases: with one or more cases, imported or locally detected;"
•,"Clusters of cases: experiencing cases, clustered in time, geographic location and/or by"
,common exposures;
•,Community transmission: experiencing larger outbreaks of local transmission defined
,"through an assessment of factors including, but not limited to: large numbers of cases not"
,linkable to transmission chains; large numbers of cases from sentinel lab surveillance;
,and/or multiple unrelated clusters in several areas of the country/territory/area;
•,Pending: transmission classification has not been reported to WHO.
"ii “Territories” include territories, areas, overseas dependencies and other jurisdictions of",
similar status.,
"Country, territory, or area-specific updates and errata",
•,"Update 16 July 2020, Mayotte: Counts adjusted retrospectively by national authorities:"
,count of number of deaths adjusted between 10 to 15 July.
•,"Update 16 July 2020, Spain: Counts adjusted retrospectively by national authorities:"
,distribution of cases adjusted between 19 April to 13 July. Distribution of deaths
,adjusted between 26 April to 5 June and from 21 June to 13 July.
•,"Update 16 July 2020, Finland: Counts adjusted retrospectively by national authorities:"
,count of number of cases adjusted between 4 to 15 July.
•,"Update 16 July 2020, Luxembourg: Counts adjusted retrospectively by national"
,authorities: added 100 cases on 15 July.
•,"Update 16 July 2020, Bosnia and Herzegovina: Counts adjusted retrospectively by"
,national authorities: added 197 cases and 5 deaths on 15 July.
•,"Update 16 July 2020, Israel: Counts adjusted retrospectively by national authorities:"
,added 1735 cases and 3 deaths on 15 July.
