Coronavirus disease,,
(COVID-19),,
Situation Report – 179,,
"Data as received by WHO from national authorities by 10:00 CEST, 17 July 2020",,
Highlights,,
WHO Director-General Dr Tedros joined the leaders of Spain to pay tribute to those who,,
"lost their lives to COVID-19, and stated that “Spain has shown that with political leadership",,
"and action, backed by community support, COVID-19 can be controlled, no matter at what",,
stage virus transmission is at in a country”.,,
"The WHO Regional Director for the Western Pacific, Dr Takeshi Kasai, praised New",,
"Zealand’s success in controlling COVID-19, adding that it has been a concerted effort to",,
limit and stop COVID-19 on their shores and support other countries in the Region.,,
The Pan American Health Organization/WHO Regional Office for the Americas and the,,
Coordinator of Indigenous Organizations of the Amazon River Basin (COICA) have agreed,,
to work together to step up the fight against COVID-19 in indigenous areas of the Amazon.,,
PAHO and COICA called for the urgent implementation of responses to the COVID-19,,
pandemic that are “appropriate to the various geographical and cultural contexts and that,,
include the participation of the communities themselves”.,,
"As of 10 July 2020, 192 countries, territories and areas have implemented additional health",,
measures that significantly interfere with international traffic. An updated summary is outlined,,
in the ‘Subject in Focus’ below.,,
Thank you for reading the WHO COVID-19 Situation Report! We would greatly appreciate,,
any feedback and suggestions you may have on these reports via a short anonymous,,
survey.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,13 616 593 cases (237 743),585 727 deaths (5 682)
Africa,543 122 cases (19 719),9 130 deaths (311)
Americas,7 154 840 cases (137 989),297 855 deaths (3 554)
Eastern Mediterranean,1 346 982 cases (15 089),33 281 deaths (505)
Europe,3 008 972 cases (21 719),205 482 deaths (476)
South-East Asia,1 308 441 cases (39 518),32 100 deaths (803)
Western Pacific,253 495 cases (3 709),7 866 deaths (33)

Subject in Focus: Additional health measures on international,
traffic,
"As of 10 July 2020, 192 out of 196 States Parties to the International Health Regulations",
(IHR 2005) reported additional health measures that significantly interfere with international,
"travel as defined under Article 43 ofthe IHR. Since 6 February 2020, WHO has shared",
"this information on a weekly basis through the Event Information Site, a secure platform",
accessible by national IHR focal points and United Nations agencies.,
The majority of measures taken by Member States relate to the denial of entry of,
"passengers, followed by flight suspensions, visa restrictions, border closures and",
quarantine measures. 75 countries have sent official notifications to WHO to communicate,
"the implementation or lifting of measures, as well as the public health rationale. From the",
"official reports received by WHO, these measures have been implemented within the",
context of a comprehensive set of interventions aimed at limiting the rapid spread of the,
disease that could overburden the country’s healthcare system and its response capacity.,
"During the last 3 weeks, at least 46 countries have started to lift or partially lift some of",
"the measures, based on risk assessment informed by multiple risk factors.",
The Temporary Recommendations to States Parties on additional health measures which,
were issued following the 3rd meeting of the IHR Emergency Committee on 30 April 2020,
include:,
•,"Avoid restrictions on international transport of food, medical and other essential"
,supplies and permit the safe movement of essential personnel required for an
,effective pandemic response;
•,Implement appropriate travel measures with consideration of their public health
,"benefits, including entry and exit screening, education of travellers on responsible"
,"travel behavior, case finding, contact tracing, isolation, and quarantine, by"
,incorporating evidence on the potential role of pre-symptomatic and asymptomatic
,transmission;
•,"Implement and monitor case finding and contact tracing of travellers, using digital"
,tools where appropriate;

•,"Continue to review travel and trade measures based on regular risk assessments,"
,"transmission patterns at origin and destination, cost-benefit analysis, evolution of the"
,"pandemic, and new knowledge of COVID-19;"
•,Engage in global efforts to respond to the challenges of COVID-19 in managing
,maritime vessels;
•,Not implement trade restrictions beyond those considered to be of public health
,importance in accordance with relevant international agreements;
•,Continue to provide appropriate public health rationale to WHO for additional health
,measures in accordance with IHR.

Surveillance
"Figure 1. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 11 July to 17 July **"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December through 17 July**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of",,,,,,
"10 AM CEST, 17 July 2020**",,,,,,
Reporting Country/Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Nicaragua,2 712,0,99,0,Community transmission,2
Cuba,2 440,2,87,0,Clusters of cases,0
Uruguay,1 009,12,31,0,Clusters of cases,0
Suriname,849,48,18,0,Clusters of cases,0
Jamaica,763,1,10,0,Clusters of cases,0
Guyana,313,5,19,1,Clusters of cases,0
Trinidad and Tobago,133,0,8,0,Sporadic cases,10
Bahamas,119,3,11,0,Clusters of cases,0
Barbados,104,1,7,0,Clusters of cases,0
Antigua and Barbuda,74,0,3,0,Clusters of cases,5
Belize,39,0,2,0,Sporadic cases,1
Saint Vincent and the Grenadines,35,0,0,0,Sporadic cases,3
Grenada,23,0,0,0,Clusters of cases,51
Saint Lucia,23,0,0,0,Sporadic cases,1
Dominica,18,0,0,0,Clusters of cases,34
Saint Kitts and Nevis,17,0,0,0,No cases,6
Territoriesii,,,,,,
Puerto Rico,10 574,195,172,1,Community transmission,0
French Guiana,6 393,94,34,1,Community transmission,0
Martinique,255,0,15,0,Clusters of cases,5
United States Virgin Islands,249,6,6,0,Clusters of cases,0
Cayman Islands,203,0,1,0,Clusters of cases,2

Reporting Country/Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Guadeloupe,190,0,14,0,Clusters of cases,6
Bermuda,150,0,9,0,Sporadic cases,5
Aruba,106,0,3,0,Sporadic cases,1
Sint Maarten,79,0,15,0,No cases,1
Turks and Caicos Islands,72,0,2,0,Clusters of cases,3
Saint Martin,44,0,3,0,Sporadic cases,12
Curaçao,26,0,1,0,No cases,3
Falkland Islands (Malvinas),13,0,0,0,No cases,82
Montserrat,12,0,1,0,No cases,6
"Bonaire, Sint Eustatius and Saba",10,1,0,0,No cases,0
British Virgin Islands,8,0,1,0,No cases,62
Saint Barthélemy,6,0,0,0,No cases,108
Saint Pierre and Miquelon,4,2,0,0,Sporadic cases,0
Anguilla,3,0,0,0,No cases,104
Eastern Mediterranean,,,,,,
Iran (Islamic Republic of),267 061,2 500,13 608,198,Community transmission,0
Pakistan,259 999,2 085,5 475,49,Clusters of cases,0
Saudi Arabia,243 238,2 764,2 370,45,Clusters of cases,0
Qatar,105 477,494,152,1,Community transmission,0
Iraq,86 148,2 281,3 522,90,Community transmission,0
Egypt,85 771,928,4 120,53,Clusters of cases,0
Oman,62 574,1 327,290,9,Community transmission,0
Kuwait,57 668,791,402,3,Clusters of cases,0
United Arab Emirates,56 129,281,335,0,Community transmission,0

Reporting Country/Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Afghanistan,35 229,159,1 147,34,Clusters of cases,0
Bahrain,35 084,524,121,4,Clusters of cases,0
Morocco,16 545,283,263,4,Clusters of cases,0
Sudan,10 527,0,668,0,Community transmission,1
Djibouti,4 993,8,56,0,Clusters of cases,0
Somalia,3 106,23,93,0,Sporadic cases,0
Lebanon,2 599,57,40,2,Clusters of cases,0
Libya,1 652,63,46,3,Clusters of cases,0
Yemen,1 556,26,439,5,Community transmission,0
Tunisia,1 327,8,50,0,Sporadic cases,0
Jordan,1 206,5,10,0,Clusters of cases,0
Syrian Arab Republic,477,19,22,0,Community transmission,0
Territoriesii,,,,,,
occupied Palestinian territory,8 616,463,52,5,Clusters of cases,0
Europe,,,,,,
Russian Federation,759 203,6 406,12 123,186,Clusters of cases,0
The United Kingdom,292 556,641,45 119,66,Community transmission,0
Spain,258 855,1 361,28 416,3,Clusters of cases,0
Italy,243 736,230,35 017,20,Community transmission,0
Turkey,216 873,933,5 440,21,Community transmission,0
Germany,200 843,583,9 082,4,Clusters of cases,0
France,163 550,393,30 032,17,Clusters of cases,0
Sweden,76 877,385,5 593,21,Community transmission,0
Kazakhstan,66 895,1 707,375,0,Clusters of cases,0

Reporting Country/Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Belarus,65 623,180,485,5,Community transmission,0
Belgium,63 238,199,9 795,3,Community transmission,0
Ukraine,57 264,809,1 456,11,Community transmission,0
Netherlands,51 296,99,6 128,1,Community transmission,0
Portugal,47 765,339,1 679,3,Community transmission,0
Israel,44 498,1 896,379,7,Pending,0
Poland,39 054,274,1 605,11,Community transmission,0
Romania,35 003,777,1 971,19,Community transmission,0
Armenia,34 001,442,620,13,Community transmission,0
Switzerland,33 205,142,1 687,0,Community transmission,0
Azerbaijan,26 165,493,334,8,Clusters of cases,0
Ireland,25 698,15,1 749,1,Clusters of cases,0
Republic of Moldova,20 264,224,666,4,Community transmission,0
Serbia,19 717,383,442,13,Community transmission,0
Austria,19 268,153,711,1,Community transmission,0
Uzbekistan,15 349,562,76,4,Clusters of cases,0
Czechia,13 612,137,355,0,Clusters of cases,0
Denmark,13 124,32,610,0,Community transmission,0
Kyrgyzstan,13 101,603,172,5,Clusters of cases,0
Norway,9 011,10,254,1,Clusters of cases,0
North Macedonia,8 612,90,401,8,Clusters of cases,0
Bulgaria,8 144,267,293,4,Clusters of cases,0
Bosnia and Herzegovina,7 681,274,239,6,Community transmission,0
Finland,7 293,0,328,0,Clusters of cases,3

Reporting Country/Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Tajikistan,6 741,46,56,0,Pending,0
Luxembourg,5 122,66,111,0,Community transmission,0
Hungary,4 279,16,595,0,Community transmission,0
Croatia,4 039,86,119,0,Clusters of cases,0
Greece,3 939,29,193,0,Clusters of cases,0
Albania,3 906,55,107,3,Clusters of cases,0
Estonia,2 016,0,69,0,Clusters of cases,1
Slovakia,1 951,24,28,0,Clusters of cases,0
Iceland,1 914,3,10,0,Community transmission,0
Lithuania,1 902,20,79,0,Community transmission,0
Slovenia,1 897,19,111,0,Clusters of cases,0
Montenegro,1 582,153,26,1,Clusters of cases,0
Latvia,1 179,1,31,0,Clusters of cases,0
Cyprus,1 031,8,19,0,Clusters of cases,0
Georgia,1 010,4,15,0,Sporadic cases,0
Andorra,877,15,52,0,Community transmission,0
San Marino,716,0,42,0,Community transmission,7
Malta,674,0,9,0,Sporadic cases,7
Monaco,99,0,1,0,Sporadic cases,40
Liechtenstein,85,0,1,0,Sporadic cases,10
Holy See,12,0,0,0,Sporadic cases,71
Territoriesii,,,,,,
Kosovo[1],5 329,135,108,6,Community transmission,0

Reporting Country/Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Isle of Man,336,0,24,0,No cases,56
Jersey,329,0,31,0,Community transmission,3
Guernsey,252,0,13,0,Community transmission,75
Faroe Islands,188,0,0,0,Pending,9
Gibraltar,180,0,0,0,Clusters of cases,6
Greenland,13,0,0,0,No cases,49
South-East Asia,,,,,,
India,1 003 832,34 956,25 602,687,Clusters of cases,0
Bangladesh,196 323,2 733,2 496,39,Community transmission,0
Indonesia,81 668,1 574,3 873,76,Community transmission,0
Nepal,17 344,167,39,0,Clusters of cases,0
Thailand,3 239,3,58,0,Clusters of cases,0
Maldives,2 899,68,15,1,Clusters of cases,0
Sri Lanka,2 687,13,11,0,Clusters of cases,0
Myanmar,339,2,6,0,Clusters of cases,0
Bhutan,86,2,0,0,Sporadic cases,0
Timor-Leste,24,0,0,0,No cases,84
Western Pacific,,,,,,
China,85 775,78,4 651,0,Clusters of cases,0
Philippines,61 266,2 416,1 643,29,Community transmission,0
Singapore,47 127,248,27,0,Clusters of cases,0
Japan,23 473,583,985,0,Clusters of cases,0
Republic of Korea,13 672,60,293,2,Clusters of cases,0

Reporting Country/Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Australia,10 810,315,113,2,Clusters of cases,0
Malaysia,8 737,3,122,0,Clusters of cases,0
New Zealand,1 199,1,22,0,Clusters of cases,0
Viet Nam,381,0,0,0,Clusters of cases,1
Mongolia,261,0,0,0,Sporadic cases,1
Cambodia,166,0,0,0,Sporadic cases,1
Brunei Darussalam,141,0,3,0,No cases,70
Fiji,26,0,0,0,Sporadic cases,5
Lao People's Democratic Republic,19,0,0,0,Sporadic cases,95
Papua New Guinea,15,4,0,0,Sporadic cases,0
Territoriesii,,,,,,
Guam,306,0,5,0,Clusters of cases,1
,62,0,0,0,Sporadic cases,19
French Polynesia,,,,,,
Northern Mariana Islands,37,1,2,0,Pending,0
(Commonwealth of the),,,,,,
New Caledonia,22,0,0,0,Sporadic cases,2
Subtotal for all regions,13 615 852,237 743,585 714,5 682,,
Other*,741,0,13,0,Not applicable,-
Grand total,13 616 593,237 743,585 727,5 682,,
"**See Annex 1 for data, table and figure notes.",,,,,,

Technical guidance and other resources,,,,
,"To view all technical guidance documents regarding COVID-19, please go to this",,,
–,,,,
,webpage.,,,
–,Updates from WHO regional offices,,,
,–,WHO AFRO,–,WHO PAHO
,–,WHO EMRO,–,WHO SEARO
,–,WHO EURO,–,WHO WPRO
–,Research and Development,,,
–,Online courses on COVID-19 and in additional national languages,,,
–,The Strategic Preparedness and Response Plan (SPRP) outlining the support the,,,
,international community can provide to all countries to prepare and respond to the virus,,,
–,WHO Coronavirus Disease (COVID-19) Dashboard,,,
,Weekly COVID-19 Operations Updates,,,
–,,,,
Recommendations and advice for the public,,,,
,Protect yourself,,,
–,,,,
–,Questions and answers,,,
–,Travel advice,,,
,"EPI-WIN: tailored information for individuals, organizations and communities",,,
–,,,,
Case definitions,,,,
WHO periodically updates the Global Surveillance for human infection with coronavirus,,,,
disease (COVID-19) document which includes surveillance definitions.,,,,
Definition of COVID-19 death,,,,
A COVID-19 death is defined for surveillance purposes as a death resulting from a clinically,,,,
"compatible illness in a probable or confirmed COVID-19 case, unless there is a clear",,,,
alternative cause of death that cannot be related to COVID-19 disease (e.g. trauma). There,,,,
should be no period of complete recovery between the illness and death.,,,,
Further guidance for certification and classification (coding) of COVID-19 as cause of death,,,,
is available here and here.,,,,

"Annex 1: Data, table and figure notes"
Caution must be taken when interpreting all data presented. Differences are to be
"expected between information products published by WHO, national public health"
"authorities, and other sources using different inclusion criteria and different data cut-off"
"times. While steps are taken to ensure accuracy and reliability, all data are subject to"
"continuous verification and change. Case detection, definitions, testing strategies, reporting"
"practice, and lag times differ between countries/territories/areas. These factors, amongst"
"others, influence the counts presented, with variable underestimation of true case and"
"death counts, and variable delays to reflecting these data at global level."
"The designations employed, and the presentation of these materials do not imply the"
expression of any opinion whatsoever on the part of WHO concerning the legal status of
"any country, territory or area or of its authorities, or concerning the delimitation of its"
frontiers or boundaries. Dotted and dashed lines on maps represent approximate border
"lines for which there may not yet be full agreement. Countries, territories and areas are"
arranged under the administering WHO region.
The mention of specific companies or of certain manufacturers’ products does not imply
that they are endorsed or recommended by WHO in preference to others of a similar
"nature that are not mentioned. Errors and omissions excepted, the names of proprietary"
products are distinguished by initial capital letters.
[1]All references to Kosovo should be understood to be in the context of the United
"Nations Security Council resolution 1244 (1999). In the map, number of cases of Serbia"
"and Kosovo (UNSCR 1244, 1999) have been aggregated for visualization purposes."
"Counts reflect laboratory-confirmed cases and deaths, based on WHO case"
"definitions, unless stated otherwise (see Country, territory, or area-specific updates and"
"errata), and include both domestic and repatriated cases."
Other*: includes cases reported from international conveyances.
Due to the recent trend of countries conducting data reconciliation exercises which remove
"large numbers of cases or deaths from their total counts, WHO will now display such"
data as negative numbers in the “new cases” / “new deaths” columns as appropriate. This

will aid readers in identifying when such adjustments occur. When additional details,
"become available that allow the subtractions to be suitably apportioned to previous days,",
graphics will be updated accordingly. Prior situation reports will not be edited; see,
covid19.who.int for the most up-to-date data.,
Additional table notes,
iTransmission classification is based on a process of country/territory/area self-reporting.,
Classifications are reviewed on a weekly basis and may be revised as new information,
becomes available. Differing degrees of transmission may be present within,
countries/territories/areas; classification is based on the highest category reported within a,
country/territory/area. Categories:,
•,No cases: with no confirmed cases;
•,"Sporadic cases: with one or more cases, imported or locally detected;"
•,"Clusters of cases: experiencing cases, clustered in time, geographic location and/or by"
,common exposures;
•,Community transmission: experiencing larger outbreaks of local transmission defined
,"through an assessment of factors including, but not limited to: large numbers of cases"
,not linkable to transmission chains; large numbers of cases from sentinel lab
,surveillance; and/or multiple unrelated clusters in several areas of the
,country/territory/area;
•,Pending: transmission classification has not been reported to WHO.
"ii “Territories” include territories, areas, overseas dependencies and other jurisdictions of",
similar status.,
"Country, territory, or area-specific updates and errata",
• None,
