Coronavirus disease (COVID-19),,
Situation Report – 108,,
"Data as received by WHO from national authorities by 10:00 CEST, 7 May 2020",,
This report has been reformatted to improve accessibility for persons with visual impairment.,,
Highlights,,
"More than 3.5 million cases of COVID-19 and 250,000 deaths have now been reported to WHO.",,
"At yesterday’s media briefing, WHO Director-General Dr Tedros Adhanom Ghebreyesus, referring to the",,
"fact that crises can exacerbate existing inequalities, reiterated that ‘We cannot end the pandemic until",,
we address the inequalities that are fueling it.’ He also highlighted six criteria that WHO recommends,,
countries should take into account when considering the easing of lockdown restrictions.,,
"WHO, UNICEF and the International Federation of the Red Cross have published guidance for countries",,
on how to maintain community-based healthcare in the context of COVID-19 . it complements the,,
United Nations framework for the socio-economic response to COVID-19.,,
WHO and the Delegation of the European Union (EU) have announced a new collaboration in Somalia,,
to strengthen operational response activities for COVID-19.,,
COVID-19 messages are reaching new audiences in Turkey as Goodwill Ambassadors from United,,
Nations agencies in the country share information from WHO with their followers.,,
"In the ‘Subject in Focus’ below, WHO lists eight key criteria for the ethical acceptability of COVID-19",,
human challenge studies.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,3 672 238 cases (83 465),254 045 deaths (6539)
Africa,35 470 cases (1497),1228 deaths (23)
Americas,1 542 829 cases (35 681),84 804 deaths (3734)
Eastern Mediterranean,229 198 cases (7968),8465 deaths (175)
Europe,1 626 037 cases (32 209),150 238 deaths (2458)
South-East Asia,81 808 cases (4810),2936 deaths (115)
Western Pacific,156 184 cases (1300),6361 deaths (34)

Subject in Focus: Key criteria for the ethical acceptability of COVID-19,,
human challenge studies,,
"The widespread use of safe and efficacious vaccines for COVID-19 could save many lives, prevent disease, and",,
permit the safe relaxation of other public health measures. There is thus an urgent ethical imperative for well-,,
designed and carefully conducted research aimed at developing such vaccines and increasing relevant scientific,,
"knowledge regarding SARS-CoV-2. Controlled human infection studies, also known as human challenge studies,",,
have been proposed as one means of testing the many vaccine candidates for SARS-CoV-2. In response to the,,
need for ethical guidance to inform policy and decisions regarding the potential development of such research,,
"programmes, WHO has developed key criteria that COVID-19 challenge study programmes would need to meet",,
to ensure that such research is conducted to the highest ethical standards.,,
The full report can be found here: https://www.who.int/ethics/publications/key-criteria-ethical-acceptability-of-,,
covid-19-human-challenge/en/,,
Table 1. Eight criteria for SARS-CoV-2 challenge studies,,
Scientific and ethical assessments,,
Criterion 1,Scientific justification,"SARS-CoV-2 challenge studies must have strong
scientific justification"
,,It must be reasonable to expect that the potential
Criterion 2,Assessment of risks and,benefits of SARS-CoV-2 challenge studies
,potential benefits,
,,outweigh risks
Consultation and coordination,,
Criterion 3,Consultation and engagement,"SARS-CoV-2 challenge research programmes
should be informed by consultation and
engagement with the public as well as relevant
experts and policy-makers"
,,SARS-CoV-2 challenge study research
,,programmes should involve close coordination
Criterion 4,Coordination,"between researchers, funders, policy-makers and"
,,regulators
Selection criteria,,
Criterion 5,Site selection,"SARS-CoV-2 challenge studies should be situated
where the research can be conducted according
to the highest scientific, clinical and ethical
standards"
Criterion 6,Participant selection,"SARS-CoV-2 challenge study researchers
should ensure that participant selection criteria
limit and minimize risk"
Review and consent,,
Criterion 7,Expert review,"SARS-CoV-2 challenge studies should be reviewed
by a specialized independent committee"
Criterion 8,Informed consent,"SARS-CoV-2 challenge studies must involve
rigorous informed consent"
Canada,62 458,1299,4111,196,Community transmission,0
Peru,51 189,3817,1444,100,Community transmission,0
Ecuador,29 420,-2461,1618,49,Community transmission,0
Mexico,26 025,1120,2507,236,Community transmission,0
Chile,23 048,1032,281,6,Community transmission,0
Dominican Republic,8807,327,362,8,Community transmission,0
Colombia,8613,640,378,20,Community transmission,0
Panama,7523,136,210,7,Community transmission,0
Argentina,5076,154,264,2,Community transmission,0
Bolivia (Plurinational State of),1802,121,86,4,Clusters of cases,0
Cuba,1703,18,69,0,Clusters of cases,0
Honduras,1270,92,93,4,Community transmission,0
Guatemala,763,33,19,0,Clusters of cases,0
Costa Rica,755,13,6,0,Clusters of cases,0
Uruguay,670,13,17,0,Clusters of cases,0
El Salvador,633,46,14,1,Clusters of cases,0

Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Jamaica,473,2,9,0,Clusters of cases,0
Paraguay,440,9,10,0,Community transmission,0
"Venezuela (Bolivarian Republic
of)",367,6,10,0,Clusters of cases,0
Trinidad and Tobago,116,0,8,0,Sporadic cases,9
Haiti,101,1,12,1,Clusters of cases,0
Guyana,93,1,10,1,Clusters of cases,0
Bahamas,89,5,11,0,Clusters of cases,0
Barbados,82,0,7,0,Clusters of cases,2
Antigua and Barbuda,25,0,3,0,Clusters of cases,3
Grenada,21,0,0,0,Clusters of cases,3
Belize,18,0,2,0,Sporadic cases,22
Saint Lucia,18,0,0,0,Sporadic cases,2
"Saint Vincent and the
Grenadines",17,0,0,0,Sporadic cases,2
Dominica,16,0,0,0,Clusters of cases,26
Nicaragua,16,1,5,0,Pending,0
Saint Kitts and Nevis,15,0,0,0,Sporadic cases,16
Suriname,10,0,1,0,Sporadic cases,33
Territoriesii,,,,,,
Puerto Rico,1968,44,56,0,Clusters of cases,0
Martinique,182,1,14,0,Clusters of cases,0
Guadeloupe,153,1,13,0,Clusters of cases,0
French Guiana,138,5,1,0,Clusters of cases,0

Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Bermuda,115,0,7,0,Clusters of cases,3
Aruba,101,0,2,0,Clusters of cases,1
Cayman Islands,78,3,1,0,Clusters of cases,0
Sint Maarten,76,0,14,0,Clusters of cases,6
United States Virgin Islands,66,0,4,0,Clusters of cases,6
Saint Martin,38,0,3,0,Sporadic cases,14
Curaçao,16,0,1,0,Sporadic cases,9
Falkland Islands (Malvinas),13,0,0,0,Clusters of cases,11
Turks and Caicos Islands,12,0,1,0,Sporadic cases,9
Montserrat,11,0,1,0,Sporadic cases,23
British Virgin Islands,7,0,1,0,Sporadic cases,1
"Bonaire, Sint Eustatius and
Saba",6,0,0,0,Sporadic cases,9
Saint Barthélemy,6,0,0,0,Sporadic cases,37
Anguilla,3,0,0,0,Sporadic cases,33
Saint Pierre and Miquelon,1,0,0,0,Sporadic cases,29
Eastern Mediterranean,,,,,,
Iran (Islamic Republic of),101 650,1680,6418,78,Community transmission,0
Saudi Arabia,31 938,1687,209,9,Clusters of cases,0
Pakistan,24 073,1540,564,38,Clusters of cases,0
Qatar,17 972,830,12,0,Community transmission,0
United Arab Emirates,15 738,546,157,11,Pending,0
Egypt,7588,387,469,17,Clusters of cases,0
Kuwait,6289,485,42,2,Clusters of cases,0

Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Morocco,5408,189,183,2,Clusters of cases,0
Bahrain,3934,214,8,0,Clusters of cases,0
Afghanistan,3392,168,104,9,Clusters of cases,0
Oman,2958,55,13,0,Clusters of cases,0
Iraq,2480,49,102,0,Clusters of cases,0
Djibouti,1124,4,3,1,Clusters of cases,0
Tunisia,1025,3,43,0,Community transmission,0
Somalia,873,38,39,1,Sporadic cases,0
Sudan,852,74,49,4,Sporadic cases,0
Lebanon,750,9,25,0,Clusters of cases,0
Jordan,473,2,9,0,Clusters of cases,0
Libya,64,1,3,0,Clusters of cases,0
Syrian Arab Republic,45,1,3,0,Community transmission,0
Yemen,26,3,6,3,Pending,0
Territoriesii,,,,,,
occupied Palestinian territory,546,3,4,0,Clusters of cases,0
Europe,,,,,,
Spain,220 325,996,25 857,244,Community transmission,0
Italy,214 457,1444,29 684,369,Community transmission,0
The United Kingdom,201 205,6211,30 076,649,Community transmission,0
Russian Federation,177 160,11231,1625,88,Clusters of cases,0
Germany,166 091,1194,7119,123,Community transmission,0
France,135 468,4176,25 769,278,Community transmission,0
Turkey,131 744,2253,3584,64,Community transmission,0

Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Belgium,50 781,272,8339,323,Community transmission,0
Netherlands,41 319,232,5204,36,Community transmission,0
Switzerland,29 977,51,1504,22,Community transmission,0
Portugal,26 182,480,1089,15,Community transmission,0
Sweden,23 918,702,2941,87,Community transmission,0
Ireland,22 248,265,1375,36,Community transmission,0
Belarus,19 255,0,112,0,Clusters of cases,1
Israel,16 314,46,238,1,Pending,0
Austria,15 651,65,608,2,Community transmission,0
Poland,14 740,309,733,17,Community transmission,0
Romania,14 107,270,858,31,Community transmission,0
Ukraine,13 691,507,340,13,Community transmission,0
Denmark,9983,162,506,3,Pending,0
Serbia,9791,114,203,3,Pending,0
Czechia,7974,78,262,5,Community transmission,0
Norway,7953,50,209,0,Pending,0
Finland,5573,161,252,6,Pending,0
Kazakhstan,4509,211,30,1,Pending,0
Republic of Moldova,4476,113,143,3,Pending,0
Luxembourg,3851,11,98,2,Pending,0
Hungary,3150,39,383,10,Clusters of cases,0
Armenia,2884,102,42,2,Clusters of cases,0
Greece,2663,21,147,1,Community transmission,0
Uzbekistan,2266,49,10,0,Clusters of cases,0

Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Azerbaijan,2127,67,28,2,Clusters of cases,0
Croatia,2119,7,85,2,Community transmission,0
Bosnia and Herzegovina,2017,49,87,5,Community transmission,0
Iceland,1799,0,10,0,Community transmission,3
Bulgaria,1778,89,84,6,Clusters of cases,0
Estonia,1713,2,55,0,Pending,0
North Macedonia,1539,13,88,2,Clusters of cases,0
Slovenia,1448,3,99,1,Community transmission,0
Slovakia,1429,8,25,0,Clusters of cases,0
Lithuania,1428,5,48,2,Community transmission,0
Latvia,900,4,17,0,Community transmission,0
Kyrgyzstan,895,24,12,0,Clusters of cases,0
Cyprus,883,5,21,1,Clusters of cases,0
Albania,832,0,31,0,Clusters of cases,1
Andorra,752,1,47,1,Community transmission,0
Georgia,614,4,9,0,Community transmission,0
San Marino,608,19,41,0,Community transmission,0
Malta,484,2,5,0,Pending,0
Tajikistan,379,86,9,2,Pending,0
Montenegro,324,0,8,0,Clusters of cases,1
Monaco,95,0,1,0,Sporadic cases,3
Liechtenstein,83,0,1,0,Pending,11
Holy See,12,1,0,0,Sporadic cases,0

Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Territoriesii,,,,,,
Kosovo[1],,,,,,
,860,4,27,0,Community transmission,0
Isle of Man,326,1,23,0,Pending,0
Jersey,293,0,24,0,Pending,1
Guernsey,252,0,13,0,Community transmission,4
Faroe Islands,187,0,0,0,Pending,13
Gibraltar,144,0,0,0,Clusters of cases,5
Greenland,11,0,0,0,Pending,31
South-East Asia,,,,,,
India,52 952,3561,1783,89,Clusters of cases,0
Indonesia,12 438,367,895,23,Community transmission,0
Bangladesh,11 719,790,186,3,Clusters of cases,0
Thailand,2992,3,55,0,Clusters of cases,0
Sri Lanka,797,26,9,0,Clusters of cases,0
Maldives,618,45,2,0,Clusters of cases,0
Myanmar,162,1,6,0,Clusters of cases,0
Nepal,99,17,0,0,Sporadic cases,0
Timor-Leste,24,0,0,0,Clusters of cases,13
Bhutan,7,0,0,0,Sporadic cases,14
Western Pacific,,,,,,
China,84 409,3,4643,0,Clusters of cases,0
Singapore,20 198,788,20,2,Clusters of cases,0
Japan,15 463,109,551,8,Clusters of cases,0

Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Republic of Korea,10 810,4,256,1,Clusters of cases,0
Philippines,10 004,320,658,21,Clusters of cases,0
Australia,6875,26,97,1,Clusters of cases,0
Malaysia,6428,45,107,1,Clusters of cases,0
New Zealand,1139,1,21,0,Clusters of cases,0
Viet Nam,271,0,0,0,Clusters of cases,3
Brunei Darussalam,139,1,1,0,Sporadic cases,0
Cambodia,122,0,0,0,Sporadic cases,25
Mongolia,41,0,0,0,Sporadic cases,1
"Lao People's Democratic
Republic",19,0,0,0,Sporadic cases,24
Fiji,18,0,0,0,Sporadic cases,16
Papua New Guinea,8,0,0,0,Sporadic cases,14
Territoriesii,,,,,,
Guam,147,2,5,0,Clusters of cases,0
French Polynesia,60,0,0,0,Sporadic cases,1
New Caledonia,18,0,0,0,Sporadic cases,34
Northern Mariana Islands,,,,,,
(Commonwealth of the),15,1,2,0,Pending,0
Subtotal for all regions,3 671 526,83 465,254 032,6539,,
Other*,,-,,,,52
,712,0,13,0,,
Grand total,,,,,,
,3 672 238,83 465,254 045,6539,,
"**See Annex 1 for data, table and figure notes.",,,,,,

Technical guidance and other resources,,,,
–,"To view all technical guidance documents regarding COVID-19, please go to this webpage.",,,
–,Updates from WHO regional offices,,,
,–,WHO AFRO,–,WHO PAHO
,–,WHO EMRO,–,WHO SEARO
,–,WHO EURO,–,WHO WPRO
–,Research and Development,,,
–,Online courses on COVID-19 and in additional national languages,,,
–,The Strategic Preparedness and Response Plan (SPRP) outlining the support the international,,,
,community can provide to all countries to prepare and respond to the virus.,,,
–,WHO Health Emergency dashboard,,,
–,Weekly COVID-19 Operations Updates,,,
Recommendations and advice for the public,,,,
–,Protect yourself.,,,
–,Questions and answers,,,
–,Travel advice,,,
–,"EPI-WIN: tailored information for individuals, organizations and communities",,,
Case definitions,,,,
WHO periodically updates the Global Surveillance for human infection with coronavirus disease,,,,
(COVID-19) document which includes surveillance definitions.,,,,
Definition of COVID-19 death,,,,
COVID-19 death is defined for surveillance purposes as a death resulting from a clinically,,,,
"compatible illness in a probable or confirmed COVID-19 case, unless there is a clear alternative",,,,
cause of death that cannot be related to COVID disease (e.g. trauma). There should be no period of,,,,
complete recovery between the illness and death.,,,,

"Annex 1: Data, table and figure notes",
Caution must be taken when interpreting all data presented. Differences are to be expected,
"between information products published by WHO, national public health authorities, and other",
sources using different inclusion criteria and different data cut-off times. While steps are taken to,
"ensure accuracy and reliability, all data are subject to continuous verification and change. Case",
"detection, definitions, testing strategies, reporting practice, and lag times differ between",
"countries/territories/areas. These factors, amongst others, influence the counts presented with",
"variable underestimation of true case and death counts, and variable delays to reflecting these data",
at global level.,
"The designations employed, and the presentation of these materials do not imply the expression of",
"any opinion whatsoever on the part of WHO concerning the legal status of any country, territory or",
"area or of its authorities, or concerning the delimitation of its frontiers or boundaries. Dotted and",
dashed lines on maps represent approximate border lines for which there may not yet be full,
"agreement. Countries, territories and areas are arranged under the administering WHO region.",
[1] All references to Kosovo should be understood to be in the context of the United Nations Security,
Council resolution 1244 (1999).,
"In the map, number of cases of Serbia and Kosovo (UNSCR 1244, 1999) have been aggregated for",
visualization purposes.,
"Counts reflect laboratory-confirmed cases and deaths, based on WHO case definitions unless stated",
"otherwise (see Country, territory, or area-specific updates and errata), and include both domestic",
and repatriated cases.,
Other*: includes cases and deaths reported under the international conveyance (Diamond,
Princess).,
Due to the recent trend of countries conducting data reconciliation exercises which remove large,
"numbers of cases or deaths from their total counts, WHO will now display such data as negative",
numbers in the “new cases” / “new deaths” columns as appropriate. This will aid readers in,
identifying when such reconciliation exercises have taken place. When additional details become,
"available in future which allow the subtractions to be apportioned to previous days, numbers will",
be updated accordingly. Prior situation reports will not be retrospectively updated; the most up -to-,
date data can always be found at covid19.who.int,
Additional table notes,
i Transmission classification is based on a process of country/territory/area self -reporting.,
"Classifications are reviewed on a weekly basis, may be revised as new information becomes",
"available, and are based on the highest category reported. Differing degrees of transmission may be",
present within countries/territories/areas. Categories:,
•,No cases: with no confirmed cases (not shown in table).
•,"Sporadic cases: with one or more cases, imported or locally detected."
•,"Clusters of cases: experiencing cases, clustered in time, geographic location and/or by common"
,exposures.
•,Community transmission: experiencing larger outbreaks of local transmission defined through
,"an assessment of factors including, but not limited to: large numbers of cases not linkable to"
,transmission chains; large numbers of cases from sentinel lab surveillance; and/or multiple
,unrelated clusters in several areas of the country/territory/area.
•,Pending: transmission classification not been reported to WHO.
"ii “Territories” include territories, areas, overseas dependencies and other jurisdictions of similar",
status.,

"Country, territory, or area-specific updates and errata"
The numbers of cases for Ecuador have been revised by national authorities.
