Coronavirus disease,,
(COVID-19),,
Situation Report – 181,,
"Data as received by WHO from national authorities by 10:00 CEST, 19 July 2020",,
Highlights,,
"COVID-19 affects us all, but most especially vulnerable populations such as refugees",,
and migrants. To assess the public health and social impact of the COVID-19,,
"pandemic on refugees and migrants, WHO and partners are conducting a global study",,
called ‘ApartTogether’. You can participate through a survey currently being conducted.,,
"To combat misconceptions about COVID-19 in Nigeria, WHO and the Nigerian",,
government are scaling up strategies to demystify COVID-19 by working with traditional,,
"leaders. The aim is to empower traditional leaders, who command great respect, to",,
participate in on-going sensitization efforts and to sustain the strategy by letting,,
community members lead the campaign.,,
Thank you for reading the WHO COVID-19 Situation Report! We would greatly appreciate,,
any feedback and suggestions you may have on these reports via a short anonymous,,
survey.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,14 043 176 cases (166 735),597 583 deaths (4 496)
Africa,579 091 cases (17 625),9 546 deaths (197)
Americas,7 376 748 cases (70 377),305 285 deaths (2 777)
Eastern Mediterranean,1 374 503 cases (13 712),34 226 deaths (488)
Europe,3 060 525 cases (18 195),206 965 deaths (281)
South-East Asia,1 391 407 cases (43 453),33 543 deaths (636)
Western Pacific,260 161 cases (3 373),8 005 deaths (117)

Surveillance
"Figure 1. Number of confirmed* COVID-19 cases reported in the last seven days by country, territory or area, 13 July to 19 July **"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed* COVID-19 cases, by date of report and WHO region, 30 December through 19 July**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed* COVID-19 cases and deaths, by WHO region. Data as of",,,,,,
"10 AM CEST, 19 July 2020**",,,,,,
Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
Uganda,1 062,6,0,0,Clusters of cases,0
Burkina Faso,1 047,2,53,0,Community transmission,0
Chad,889,2,75,0,Community transmission,0
Togo,774,8,15,0,Community transmission,0
Sao Tome and Principe,743,2,14,0,Clusters of cases,0
Angola,687,49,29,0,Clusters of cases,0
Botswana,522,0,1,0,Clusters of cases,2
United Republic of Tanzania,509,0,21,0,Community transmission,72
Lesotho,359,0,6,0,Clusters of cases,1
Mauritius,343,0,10,0,Sporadic cases,5
Comoros,328,0,7,0,Community transmission,2
Burundi,310,0,1,0,Clusters of cases,2

Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Eritrea 251 0 0 0 Sporadic cases 2,,,,,,
Seychelles 108 0 0 0 Sporadic cases 3,,,,,,
Gambia,93,0,4,0,Sporadic cases,1
Territoriesii,,,,,,
Mayotte,2 782,0,37,0,Clusters of cases,2
Réunion,624,0,3,0,Clusters of cases,1
Americas,,,,,,
United States of America,3 544 143,0,137 674,0,Community transmission,1
Brazil,2 046 328,34 177,77 851,1 163,Community transmission,0
Peru,345 537,3 951,12 799,184,Community transmission,0
Mexico,331 298,7 257,38 310,736,Community transmission,0
Chile,328 846,2 307,8 445,98,Community transmission,0
Colombia,182 140,8 934,6 288,259,Community transmission,0
Argentina,119 301,4 518,2 204,71,Community transmission,0
Canada,109 669,405,8 839,12,Community transmission,0
Ecuador,73 382,938,5 282,32,Community transmission,0
Bolivia (Plurinational State of),56 102,1 946,2 049,65,Community transmission,0
Dominican Republic,51 519,1 406,971,29,Community transmission,0
Panama,51 408,1 035,1 038,38,Community transmission,0
Guatemala,33 809,870,1 443,39,Community transmission,0
Honduras,31 745,878,857,22,Community transmission,0
El Salvador,11 508,301,324,15,Community transmission,0
Venezuela (Bolivarian Republic of),11 191,337,107,3,Community transmission,0
Costa Rica,9 969,423,47,5,Community transmission,0

Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Haiti,6 975,27,146,1,Community transmission,0
Paraguay,3 457,115,28,1,Community transmission,0
Nicaragua,2 712,0,99,0,Community transmission,4
Cuba,2 445,1,87,0,Clusters of cases,0
Uruguay,1 037,11,32,0,Clusters of cases,0
Suriname,943,24,19,0,Clusters of cases,0
Jamaica,768,3,10,0,Clusters of cases,0
Guyana,320,5,19,0,Clusters of cases,0
Trinidad and Tobago,136,0,8,0,Sporadic cases,1
Bahamas,129,5,11,0,Clusters of cases,0
Barbados,104,0,7,0,Clusters of cases,2
Antigua and Barbuda,76,2,3,0,Clusters of cases,0
Belize,40,0,2,0,Sporadic cases,1
Saint Vincent and the Grenadines,35,0,0,0,Sporadic cases,5
Grenada,23,0,0,0,Clusters of cases,53
Saint Lucia,23,0,0,0,Sporadic cases,3
Dominica,18,0,0,0,Clusters of cases,36
Saint Kitts and Nevis,17,0,0,0,No cases,8
Territoriesii,,,,,,
Puerto Rico,11 453,333,178,1,Community transmission,0
French Guiana,6 655,146,37,3,Community transmission,0
United States Virgin Islands,283,20,6,0,Clusters of cases,0
Martinique,262,1,15,0,Clusters of cases,0
Cayman Islands,203,0,1,0,Clusters of cases,4

Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Guadeloupe,195,0,14,0,Clusters of cases,1
Bermuda,152,0,9,0,Sporadic cases,1
Aruba,108,0,3,0,Sporadic cases,1
Sint Maarten,79,0,15,0,No cases,3
Turks and Caicos Islands,75,1,2,0,Clusters of cases,0
Saint Martin,46,0,3,0,Sporadic cases,1
Curaçao,28,0,1,0,No cases,1
Falkland Islands (Malvinas),13,0,0,0,No cases,84
Montserrat,12,0,1,0,No cases,8
"Bonaire, Sint Eustatius and Saba",10,0,0,0,No cases,2
British Virgin Islands,8,0,1,0,No cases,64
Saint Barthélemy,6,0,0,0,No cases,110
Saint Pierre and Miquelon,4,0,0,0,Sporadic cases,2
Anguilla,3,0,0,0,No cases,106
Eastern Mediterranean,,,,,,
Iran (Islamic Republic of),271 606,2 166,13 979,188,Community transmission,0
Pakistan,263 496,1 579,5 568,46,Clusters of cases,0
Saudi Arabia,248 416,2 565,2 447,40,Clusters of cases,0
Qatar,106 308,410,154,1,Community transmission,0
Iraq,90 220,2 049,3 691,75,Community transmission,0
Egypt,87 172,698,4 251,63,Clusters of cases,0
Oman,65 504,1 311,308,10,Community transmission,0
Kuwait,58 904,683,407,3,Clusters of cases,0
United Arab Emirates,56 711,289,338,1,Community transmission,0

Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Bahrain,36 004,531,124,0,Clusters of cases,0
Afghanistan,35 475,186,1 181,34,Clusters of cases,0
Morocco,17 015,289,269,5,Clusters of cases,0
Sudan,10 762,235,680,12,Community transmission,0
Djibouti,5 003,0,56,0,Clusters of cases,1
Somalia,3 111,5,93,0,Sporadic cases,0
Lebanon,2 775,75,40,0,Clusters of cases,0
Libya,1 791,87,48,1,Clusters of cases,0
Yemen,1 585,5,444,3,Community transmission,0
Tunisia,1 348,12,50,0,Sporadic cases,0
Jordan,1 214,5,11,1,Clusters of cases,0
Syrian Arab Republic,496,0,25,0,Community transmission,1
Territoriesii,,,,,,
occupied Palestinian territory,9 587,532,62,5,Clusters of cases,0
Europe,,,,,,
Russian Federation,771 546,6 109,12 342,95,Clusters of cases,0
The United Kingdom,294 070,827,45 273,40,Community transmission,0
Spain,260 255,0,28 420,0,Clusters of cases,1
Italy,244 216,249,35 042,14,Community transmission,0
Turkey,218 717,918,5 475,17,Community transmission,0
Germany,201 574,202,9 084,1,Clusters of cases,0
France,164 247,0,30 046,0,Clusters of cases,1
Sweden,77 281,0,5 619,0,Community transmission,1
Kazakhstan,70 339,1 636,375,0,Clusters of cases,0

Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Belarus,65 953,171,495,4,Community transmission,0
Belgium,63 706,207,9 800,0,Community transmission,0
Ukraine,58 842,731,1 485,8,Community transmission,0
Netherlands,51 526,127,6 129,0,Community transmission,0
Portugal,48 390,313,1 684,2,Community transmission,0
Israel,48 041,1 597,395,9,Pending,0
Poland,39 746,339,1 618,6,Community transmission,0
Romania,36 691,889,2 009,21,Community transmission,0
Armenia,34 877,415,641,10,Community transmission,0
Switzerland,33 406,110,1 687,0,Community transmission,0
Azerbaijan,27 133,497,349,8,Clusters of cases,0
Ireland,25 750,20,1 753,1,Clusters of cases,0
Kyrgyzstan,24 984,0,923,0,Clusters of cases,1
Republic of Moldova,20 794,300,680,5,Community transmission,0
Serbia,20 498,389,461,9,Community transmission,0
Austria,19 508,102,711,0,Community transmission,0
Uzbekistan,16 429,533,84,4,Clusters of cases,0
Czechia,13 855,113,358,0,Clusters of cases,0
Denmark,13 173,0,611,0,Community transmission,1
North Macedonia,9 026,240,414,8,Clusters of cases,0
Norway,9 015,0,255,0,Clusters of cases,1
Bulgaria,8 638,196,299,2,Clusters of cases,0
Bosnia and Herzegovina,8 164,256,245,2,Community transmission,0
Finland,7 318,17,328,0,Clusters of cases,0

Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Tajikistan,6 834,48,57,1,Pending,0
Luxembourg,5 409,124,111,0,Community transmission,0
Hungary,4 315,22,596,1,Community transmission,0
Croatia,4 235,98,120,0,Clusters of cases,0
Albania,4 008,102,111,4,Clusters of cases,0
Greece,3 983,19,194,0,Clusters of cases,0
Estonia,2 021,1,69,0,Clusters of cases,0
Slovakia,1 976,11,28,0,Clusters of cases,0
Slovenia,1 940,24,111,0,Clusters of cases,0
Iceland,1 922,6,10,0,Community transmission,0
Lithuania,1 915,7,80,1,Community transmission,0
Montenegro,1 664,46,30,2,Clusters of cases,0
Latvia,1 189,4,31,0,Clusters of cases,0
Cyprus,1 037,6,19,0,Clusters of cases,0
Georgia,1 028,10,15,0,Sporadic cases,0
Andorra,880,0,52,0,Community transmission,1
San Marino,716,0,42,0,Community transmission,9
Malta,674,0,9,0,Sporadic cases,9
Monaco,99,0,1,0,Sporadic cases,42
Liechtenstein,86,0,1,0,Sporadic cases,1
Holy See,12,0,0,0,Sporadic cases,73
Territoriesii,,,,,,
Kosovo[1],,,,,,
,5 574,164,120,6,Community transmission,0

Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Isle of Man,336,0,24,0,No cases,58
Jersey,331,0,31,0,Community transmission,1
Guernsey,252,0,13,0,Community transmission,77
Faroe Islands,188,0,0,0,Pending,11
Gibraltar,180,0,0,0,Clusters of cases,8
Greenland,13,0,0,0,No cases,51
South-East Asia,,,,,,
India,1 077 618,38 902,26 816,543,Clusters of cases,0
Bangladesh,202 066,2 709,2 581,34,Community transmission,0
Indonesia,84 882,1 752,4 016,59,Community transmission,0
Nepal,17 502,57,40,0,Clusters of cases,0
Thailand,3 249,3,58,0,Clusters of cases,0
Maldives,2 930,17,15,0,Clusters of cases,0
Sri Lanka,2 708,11,11,0,Clusters of cases,0
Myanmar,341,2,6,0,Clusters of cases,0
Bhutan,87,0,0,0,Sporadic cases,1
Timor-Leste,24,0,0,0,No cases,86
Western Pacific,,,,,,
China,85 937,80,4 653,1,Clusters of cases,0
Philippines,65 304,2 303,1 773,113,Community transmission,0
Singapore,47 656,202,27,0,Clusters of cases,0
Japan,24 642,510,985,0,Clusters of cases,0
Republic of Korea,13 745,34,295,1,Clusters of cases,0

Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Australia,11 441,206,118,2,Clusters of cases,0
Malaysia,8 764,9,122,0,Clusters of cases,0
New Zealand,1 203,3,22,0,Clusters of cases,0
Viet Nam,382,0,0,0,Clusters of cases,1
Mongolia,287,25,0,0,Sporadic cases,0
Cambodia,171,0,0,0,Sporadic cases,1
Brunei Darussalam,141,0,3,0,No cases,72
Fiji,26,0,0,0,Sporadic cases,7
Lao People's Democratic Republic,19,0,0,0,Sporadic cases,97
Papua New Guinea,15,0,0,0,Sporadic cases,2
Territoriesii,,,,,,
Guam,307,1,5,0,Clusters of cases,0
French Polynesia,62,0,0,0,Sporadic cases,21
Northern Mariana Islands,,,,,,
(Commonwealth of the),37,0,2,0,Pending,2
New Caledonia,22,0,0,0,Sporadic cases,4
Subtotal for all regions,14 042 435,166 735,597 570,4 496,,
Other †,741,0,13,0,Not applicable,-
Grand total,14 043 176,166 735,597 583,4 496,,
"** See Annex 1 for data, table and figure notes.",,,,,,

Technical guidance and other resources,,,,
,"To view all technical guidance documents regarding COVID-19, please go to this",,,
–,,,,
,webpage.,,,
–,Updates from WHO regional offices,,,
,–,WHO AFRO,–,WHO PAHO
,–,WHO EMRO,–,WHO SEARO
,–,WHO EURO,–,WHO WPRO
–,Research and Development,,,
–,Online courses on COVID-19 and in additional national languages,,,
–,The Strategic Preparedness and Response Plan (SPRP) outlining the support the,,,
,international community can provide to all countries to prepare and respond to the virus,,,
–,WHO Coronavirus Disease (COVID-19) Dashboard,,,
,Weekly COVID-19 Operations Updates,,,
–,,,,
Recommendations and advice for the public,,,,
,Protect yourself,,,
–,,,,
–,Questions and answers,,,
–,Travel advice,,,
,"EPI-WIN: tailored information for individuals, organizations and communities",,,
–,,,,
Case definitions,,,,
WHO periodically updates the Global Surveillance for human infection with coronavirus,,,,
disease (COVID-19) document which includes surveillance definitions.,,,,
Definition of COVID-19 death,,,,
A COVID-19 death is defined for surveillance purposes as a death resulting from a clinically,,,,
"compatible illness in a probable or confirmed COVID-19 case, unless there is a clear",,,,
alternative cause of death that cannot be related to COVID-19 disease (e.g. trauma). There,,,,
should be no period of complete recovery between the illness and death.,,,,
Further guidance for certification and classification (coding) of COVID-19 as cause of death,,,,
is available here and here.,,,,

"Annex 1: Data, table and figure notes"
Caution must be taken when interpreting all data presented. Differences are to be
"expected between information products published by WHO, national public health"
"authorities, and other sources using different inclusion criteria and different data cut-off"
"times. While steps are taken to ensure accuracy and reliability, all data are subject to"
"continuous verification and change. Case detection, definitions, testing strategies, reporting"
"practice, and lag times differ between countries/territories/areas. These factors, amongst"
"others, influence the counts presented, with variable underestimation of true case and"
"death counts, and variable delays to reflecting these data at global level."
"The designations employed, and the presentation of these materials do not imply the"
expression of any opinion whatsoever on the part of WHO concerning the legal status of
"any country, territory or area or of its authorities, or concerning the delimitation of its"
frontiers or boundaries. Dotted and dashed lines on maps represent approximate border
"lines for which there may not yet be full agreement. Countries, territories and areas are"
arranged under the administering WHO region.
The mention of specific companies or of certain manufacturers’ products does not imply
that they are endorsed or recommended by WHO in preference to others of a similar
"nature that are not mentioned. Errors and omissions excepted, the names of proprietary"
products are distinguished by initial capital letters.
[1]All references to Kosovo should be understood to be in the context of the United
"Nations Security Council resolution 1244 (1999). In the map, number of cases of Serbia"
"and Kosovo (UNSCR 1244, 1999) have been aggregated for visualization purposes."
* Asmall number of countries/territories/areas report combined probable and laboratory-
confirmed cases; efforts are underway to identify these for notation in the data
table.† Other: includes cases reported from international conveyances.
Due to the recent trend of countries conducting data reconciliation exercises which remove
"large numbers of cases or deaths from their total counts, WHO will now display such"
data as negative numbers in the “new cases” / “new deaths” columns as appropriate. This
will aid readers in identifying when such adjustments occur. When additional details
"become available that allow the subtractions to be suitably apportioned to previous days,"

graphics will be updated accordingly. Prior situation reports will not be edited; see,
covid19.who.int for the most up-to-date data.,
Additional table notes,
iTransmission classification is based on a process of country/territory/area self-reporting.,
Classifications are reviewed on a weekly basis and may be revised as new information,
becomes available. Differing degrees of transmission may be present within,
countries/territories/areas; classification is based on the highest category reported within a,
country/territory/area. Categories:,
•,No cases: with no confirmed cases;
•,"Sporadic cases: with one or more cases, imported or locally detected;"
•,"Clusters of cases: experiencing cases, clustered in time, geographic location and/or by"
,common exposures;
•,Community transmission: experiencing larger outbreaks of local transmission defined
,"through an assessment of factors including, but not limited to: large numbers of cases"
,not linkable to transmission chains; large numbers of cases from sentinel lab
,surveillance; and/or multiple unrelated clusters in several areas of the
,country/territory/area;
•,Pending: transmission classification has not been reported to WHO.
"ii “Territories” include territories, areas, overseas dependencies and other jurisdictions of",
similar status.,
"Country, territory, or area-specific notes, updates and errata",
•,"Note, United States of America: no updates were received today prior to the data"
,"cutoff time, thus regional and global totals for new cases and deaths are substantially"
,reduced. The figures will be adjusted when data are available.
