Coronavirus disease,,
(COVID-19),,
Situation Report – 187,,
"Data as received by WHO from national authorities by 10:00 CEST, 25 July 2020",,
Highlights,,
"The COVID-19 pandemic has affected older people disproportionately, especially those living in long-term care",,
facilities. WHO has published a policy brief on preventing and managing COVID-19 across long-term care,,
services.,,
"Evelyn Narki Dowuona, a health worker at the Ga East Municipal Hospital in Accra, Ghana, speaks with WHO on",,
the challenges of managing COVID-19.,,
WHO has released a set of practical steps for implementing the prescriptions of the WHO Manifesto for a,,
"healthy recovery from COVID-19. These prescriptions aim to create a healthier, fairer and greener world while",,
investing to maintain and resuscitate the economy hit by the effects of the pandemic.,,
Prison nurse Deanna Mezen discusses how life has changed under COVID-19 at one of the largest prisons in the,,
United Kingdom.,,
"Through the UHC Partnership, WHO has been working since 2011 to support Timor-Leste’s efforts to",,
strengthen its health system. At the time of the first confirmed case of COVID-19 Timor-Leste had no identified,,
"isolation and quarantine facilities, limited surveillance capacity and had just initiated in-country testing for",,
COVID-19. Swift action from the Ministry of Health decisively transformed its fragile health system and,,
prevented COVID-19 from reaching communities.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,15 581 009 cases (284 083),635 173 deaths (6 270)
Africa,679 962 cases (20 614),11 340 deaths (339)
Americas,8 292 311 cases (170 611),329 699 deaths (4 074)
Eastern Mediterranean,1 456 365 cases (14 019),37 050 deaths (450)
Europe,3 192 041 cases (21 659),209 930 deaths (509)
South-East Asia,1 678 994 cases (53 430),38 993 deaths (882)
Western Pacific,280 595 cases (3 750),8 148 deaths (16)

Surveillance
"Figure 1. Number of confirmed* COVID-19 cases reported in the last seven days by country, territory or area, 19 July to 25 July **"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed* COVID-19 cases, by date of report and WHO region, 30 December through 25 July**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed* COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST, 25 July 2020**",,,,,,
Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
United Republic of Tanzania,509,0,21,0,Community transmission,78
Lesotho,419,60,9,3,Clusters of cases,0
Burundi,345,0,1,0,Clusters of cases,1
Mauritius,344,1,10,0,Sporadic cases,0
Comoros,340,0,7,0,Community transmission,1

Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Eritrea 261 0 0 0 Sporadic cases 1,,,,,,
Gambia 170 0 5 0 Sporadic cases 1,,,,,,
Seychelles,107,0,0,0,Sporadic cases,2
Territoriesii,,,,,,
Mayotte,2 873,11,38,0,Clusters of cases,0
Réunion,654,8,3,0,Clusters of cases,0
Americas,,,,,,
United States of America,4 009 808,71 714,143 663,1 110,Community transmission,0
Brazil,2 287 475,59 961,84 082,1 311,Community transmission,0
Peru,371 096,4 546,17 654,199,Community transmission,0
Mexico,370 712,8 438,41 908,718,Community transmission,0
Chile,341 304,2 545,8 914,76,Community transmission,0
Colombia,226 373,7 945,7 688,315,Community transmission,0
Argentina,148 027,6 127,2 722,105,Community transmission,0
Canada,112 672,432,8 874,4,Community transmission,0
Ecuador,79 049,901,5 468,29,Community transmission,0
Bolivia (Plurinational State of),65 252,1 117,2 407,79,Community transmission,0
Dominican Republic,59 077,1 462,1 036,30,Community transmission,0
Panama,56 817,911,1 209,29,Community transmission,0
Guatemala,43 283,1 091,1 669,37,Community transmission,0
Honduras,36 902,800,1 011,5,Community transmission,0
El Salvador,13 792,415,379,7,Community transmission,0
Venezuela (Bolivarian Republic of),13 613,449,129,5,Community transmission,0
Costa Rica,13 129,768,80,9,Community transmission,0

Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Haiti,7 197,30,154,0,Community transmission,0
Paraguay,4 113,113,36,0,Community transmission,0
Nicaragua,3 004,0,108,0,Community transmission,3
Cuba,2 469,3,87,0,Clusters of cases,0
Suriname,1 234,58,23,2,Clusters of cases,0
Uruguay,1 141,24,34,0,Clusters of cases,0
Jamaica,821,5,10,0,Clusters of cases,0
Guyana,351,1,19,0,Clusters of cases,0
Bahamas,274,55,11,0,Clusters of cases,0
Trinidad and Tobago,142,1,8,0,Sporadic cases,0
Barbados,106,0,7,0,Clusters of cases,3
Antigua and Barbuda,76,0,3,0,Clusters of cases,6
Saint Vincent and the Grenadines,52,0,0,0,Sporadic cases,1
Belize,47,4,2,0,Sporadic cases,0
Saint Lucia,24,0,0,0,Sporadic cases,1
Grenada,23,0,0,0,Clusters of cases,59
Dominica,18,0,0,0,Clusters of cases,42
Saint Kitts and Nevis,17,0,0,0,No cases,14
Territoriesii,,,,,,
Puerto Rico,13 967,494,191,3,Community transmission,0
French Guiana,7 251,165,41,1,Community transmission,0
United States Virgin Islands,342,6,7,0,Clusters of cases,0
Martinique,269,7,15,0,Clusters of cases,0
Cayman Islands,203,0,1,0,Sporadic cases,10

Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Guadeloupe,203,8,14,0,Clusters of cases,0
Bermuda,153,0,9,0,Sporadic cases,5
Aruba,117,0,3,0,Sporadic cases,2
Sint Maarten,94,10,15,0,Sporadic cases,0
Turks and Caicos Islands,90,4,2,0,Clusters of cases,0
Saint Martin,46,0,3,0,Sporadic cases,7
Curaçao,29,1,1,0,Sporadic cases,0
Falkland Islands (Malvinas),13,0,0,0,No cases,90
Montserrat,12,0,1,0,No cases,14
"Bonaire, Sint Eustatius and Saba",11,0,0,0,Sporadic cases,1
British Virgin Islands,8,0,1,0,No cases,70
Saint Barthélemy,6,0,0,0,No cases,116
Saint Pierre and Miquelon,4,0,0,0,Sporadic cases,8
Anguilla,3,0,0,0,No cases,112
Eastern Mediterranean,,,,,,
Iran (Islamic Republic of),286 523,2 489,15 289,215,Community transmission,0
Pakistan,271 887,1 487,5 787,24,Clusters of cases,0
Saudi Arabia,262 772,2 378,2 672,37,Clusters of cases,0
Qatar,108 638,394,164,0,Community transmission,0
Iraq,104 711,2 485,4 212,90,Community transmission,0
Egypt,91 072,659,4 518,38,Clusters of cases,0
Oman,73 791,1 145,359,4,Community transmission,0
Kuwait,62 625,753,425,4,Clusters of cases,0
United Arab Emirates,58 249,261,343,1,Community transmission,0

Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Bahrain,38 458,462,136,2,Clusters of cases,0
Afghanistan,36 036,55,1 246,21,Clusters of cases,0
Morocco,18 834,570,299,7,Clusters of cases,0
Sudan,11 302,0,715,0,Community transmission,1
Djibouti,5 039,8,58,0,Clusters of cases,0
Lebanon,3 407,147,46,3,Clusters of cases,0
Somalia,3 171,0,93,0,Sporadic cases,1
Libya,2 425,111,57,1,Clusters of cases,0
Yemen,1 678,20,462,0,Community transmission,0
Tunisia,1 425,19,50,0,Sporadic cases,0
Jordan,1 302,15,11,0,Clusters of cases,0
Syrian Arab Republic,608,24,35,0,Community transmission,0
Territoriesii,,,,,,
Clusters of cases,,,,,,
occupied Palestinian territory,12 412,537,73,3,0,
Europe,,,,,,
Russian Federation,806 720,5 871,13 192,146,Clusters of cases,0
The United Kingdom,297 918,768,45 677,123,Community transmission,0
Spain,272 421,2 255,28 432,3,Clusters of cases,0
Italy,245 590,252,35 097,5,Clusters of cases,0
Turkey,224 252,937,5 580,17,Community transmission,0
Germany,204 964,781,9 118,7,Clusters of cases,0
France,169 222,931,30 078,9,Clusters of cases,0
Kazakhstan,80 226,1 740,585,0,Clusters of cases,0
Sweden,78 997,234,5 697,21,Community transmission,0

Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Belarus,66 846,158,524,5,Community transmission,0
Belgium,65 106,352,9 817,5,Community transmission,0
Ukraine,63 929,1 106,1 590,19,Community transmission,0
Israel,54 369,0,427,0,Community transmission,2
Netherlands,52 595,191,6 139,0,Community transmission,0
Portugal,49 692,313,1 712,7,Clusters of cases,0
Romania,42 394,1 119,2 150,24,Community transmission,0
Poland,42 038,458,1 655,4,Community transmission,0
Armenia,36 996,383,700,8,Community transmission,0
Switzerland,34 067,154,1 699,6,Community transmission,0
Kyrgyzstan,31 247,0,1 249,38,Clusters of cases,1
Azerbaijan,29 312,332,400,9,Clusters of cases,0
Ireland,25 845,19,1 763,0,Clusters of cases,0
Serbia,22 852,409,518,10,Community transmission,0
Republic of Moldova,22 483,378,726,5,Community transmission,0
Austria,20 229,81,711,0,Community transmission,0
Uzbekistan,19 653,667,104,1,Clusters of cases,0
Czechia,15 081,281,369,4,Clusters of cases,0
Denmark,13 438,48,613,1,Community transmission,0
Bulgaria,10 123,270,337,8,Clusters of cases,0
North Macedonia,9 797,129,451,6,Clusters of cases,0
Bosnia and Herzegovina,9 764,304,278,6,Community transmission,0
Norway,9 085,23,255,0,Clusters of cases,0
Finland,7 380,8,329,1,Clusters of cases,0

Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Tajikistan,7 104,44,58,0,Pending,0
Luxembourg,6 056,104,112,0,Community transmission,0
Croatia,4 715,81,128,0,Clusters of cases,0
Albania,4 570,104,128,5,Clusters of cases,0
Hungary,4 424,26,596,0,Community transmission,0
Greece,4 135,25,201,0,Clusters of cases,0
Montenegro,2 569,0,40,0,Clusters of cases,1
Slovakia,2 118,29,28,0,Clusters of cases,0
Slovenia,2 052,19,115,0,Clusters of cases,0
Estonia,2 028,1,69,0,Clusters of cases,0
Lithuania,1 986,26,80,0,Community transmission,0
Iceland,1 843,2,10,0,Community transmission,0
Latvia,1 205,2,31,0,Clusters of cases,0
Georgia,1 117,13,16,0,Sporadic cases,0
Cyprus,1 047,2,19,0,Clusters of cases,0
Andorra,897,8,52,0,Community transmission,0
San Marino,716,0,42,0,Community transmission,15
Malta,686,6,9,0,Sporadic cases,0
Monaco,99,0,1,0,Sporadic cases,48
Liechtenstein,87,0,1,0,Sporadic cases,5
Holy See,12,0,0,0,Sporadic cases,79
Territoriesii,,,,,,
Kosovo [1],,,,,,
,6 637,213,154,6,Community transmission,0

Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Isle of Man,336,0,24,0,No cases,64
Jersey,331,0,31,0,Community transmission,7
Guernsey,252,0,13,0,Community transmission,83
Faroe Islands,191,0,0,0,Sporadic cases,5
Gibraltar,184,2,0,0,Clusters of cases,0
Greenland,13,0,0,0,No cases,57
South-East Asia,,,,,,
India,1 336 861,48 916,31 358,757,Clusters of cases,0
Bangladesh,218 658,2 548,2 836,35,Community transmission,0
Indonesia,95 418,1 761,4 665,89,Community transmission,0
Nepal,18 374,133,44,1,Clusters of cases,0
Thailand,3 282,3,58,0,Clusters of cases,0
Maldives,3 175,55,15,0,Clusters of cases,0
Sri Lanka,2 764,11,11,0,Clusters of cases,0
Myanmar,346,3,6,0,Clusters of cases,0
Bhutan,92,0,0,0,Sporadic cases,3
Timor-Leste,24,0,0,0,No cases,92
Western Pacific,,,,,,
China,86 660,160,4 657,1,Clusters of cases,0
Philippines,76 444,2 054,1 879,8,Community transmission,0
Singapore,49 375,277,27,0,Clusters of cases,0
Japan,28 786,830,993,1,Clusters of cases,0
Republic of Korea,14 092,113,298,0,Clusters of cases,0

Reporting Country/Territory/Area,Total confirmed*,Total confirmed*,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Australia,13 595,289,139,6,Clusters of cases,0
Malaysia,8 861,21,123,0,Clusters of cases,0
New Zealand,1 206,0,22,0,Clusters of cases,1
Viet Nam,415,3,0,0,Clusters of cases,0
Mongolia,288,1,0,0,Sporadic cases,0
Cambodia,202,0,0,0,Sporadic cases,1
Brunei Darussalam,141,0,3,0,No cases,78
Papua New Guinea,32,1,0,0,Sporadic cases,0
Fiji,27,0,0,0,Sporadic cases,4
Lao People's Democratic Republic,20,1,0,0,Sporadic cases,0
Territoriesii,,,,,,
Guam,329,0,5,0,Clusters of cases,1
French Polynesia,62,0,0,0,Sporadic cases,27
Northern Mariana Islands,,,,,,
(Commonwealth of the),38,0,2,0,Pending,3
New Caledonia,22,0,0,0,Sporadic cases,10
Subtotal for all regions,15 580 268,284 083,635 160,6 270,,
Other†,741,0,13,0,Not applicable,-
Grand total,15 581 009,284 083,635 173,6 270,,
"**See Annex 1 for data, table and figure notes.",,,,,,

Technical guidance and other resources,,,,
–,"To view all technical guidance documents regarding COVID-19, please go to this webpage.",,,
–,Updates from WHO regional offices,,,
,–,WHO AFRO,–,WHO PAHO
,–,WHO EMRO,–,WHO SEARO
,–,WHO EURO,–,WHO WPRO
–,Research and Development,,,
–,Online courses on COVID-19 and in additional national languages,,,
–,The Strategic Preparedness and Response Plan (SPRP) outlining the support the international community,,,
,can provide to all countries to prepare and respond to the virus,,,
–,WHO Coronavirus Disease (COVID-19) Dashboard,,,
–,Weekly COVID-19 Operations Updates,,,
Recommendations and advice for the public,,,,
–,Protect yourself,,,
–,Questions and answers,,,
–,Travel advice,,,
–,"EPI-WIN: tailored information for individuals, organizations and communities",,,
Case definitions,,,,
WHO periodically updates the Global Surveillance for human infection with coronavirus disease (COVID-19),,,,
document which includes surveillance definitions.,,,,
Definition of COVID-19 death,,,,
A COVID-19 death is defined for surveillance purposes as a death resulting from a clinically compatible illness,,,,
"in a probable or confirmed COVID-19 case, unless there is a clear alternative cause of death that cannot be",,,,
related to COVID-19 disease (e.g. trauma). There should be no period of complete recovery between the,,,,
illness and death.,,,,
Further guidance for certification and classification (coding) of COVID-19 as cause of death is available here,,,,
and here.,,,,

"Annex 1: Data, table and figure notes",
Caution must be taken when interpreting all data presented. Differences are to be expected between,
"information products published by WHO, national public health authorities, and other sources using different",
"inclusion criteria and different data cut-off times. While steps are taken to ensure accuracy and reliability, all",
"data are subject to continuous verification and change. Case detection, definitions, testing strategies,",
"reporting practice, and lag times differ between countries/territories/areas. These factors, amongst others,",
"influence the counts presented, with variable underestimation of true case and death counts, and variable",
delays to reflecting these data at global level.,
"The designations employed, and the presentation of these materials do not imply the expression of any",
"opinion whatsoever on the part of WHO concerning the legal status of any country, territory or area or",
"of its authorities, or concerning the delimitation of its frontiers or boundaries. Dotted and dashed lines",
"on maps represent approximate border lines for which there may not yet be full agreement. Countries,",
territories and areas are arranged under the administering WHO region.,
The mention of specific companies or of certain manufacturers’ products does not imply that they are,
endorsed or recommended by WHO in preference to others of a similar nature that are not mentioned.,
"Errors and omissions excepted, the names of proprietary products are distinguished by initial capital",
letters.,
[1] All references to Kosovo shouldbe understood to be in the context of the United Nations Security Council,
"resolution 1244 (1999). In the map, number of cases of Serbia and Kosovo (UNSCR 1244, 1999) have been",
aggregated for visualization purposes.,
*A smallnumber of countries/territories/areas report combined probable and laboratory-confirmed cases;,
efforts are underway to identify these for notation in the data table.†Other: includes cases reported from,
international conveyances.,
Due to the recent trend of countries conducting data reconciliation exercises which remove large numbers of,
"cases or deaths from their total counts, WHO will now display such data as negative numbers in the “new",
cases” / “new deaths” columns as appropriate. This will aid readers in identifying when such adjustments,
occur. When additional details become available that allow the subtractions to be suitably apportioned to,
"previous days, graphics will be updated accordingly. Prior situation reports will not be edited; see",
covid19.who.int for the most up-to-date data.,
Additional table notes,
iTransmission classification is based on a process of country/territory/area self-reporting. Classifications,
are reviewed on a weekly basis and may be revised as new information becomes available. Differing,
degrees of transmission may be present within countries/territories/areas; classification is based on the,
highest category reported within a country/territory/area. Categories:,
•,No cases: with no confirmed cases;
•,"Sporadic cases: with one or more cases, imported or locally detected;"
•,"Clusters of cases: experiencing cases, clustered in time, geographic location and/or by common"
,exposures;

•,Community transmission: experiencing larger outbreaks of local transmission defined through an
,"assessment of factors including, but not limited to: large numbers of cases not linkable to transmission"
,chains; large numbers of cases from sentinel lab surveillance; and/or multiple unrelated clusters in
,several areas of the country/territory/area;
•,Pending: transmission classification has not been reported to WHO.
"ii “Territories” include territories, areas, overseas dependencies and other jurisdictions of similar status.",
"Country, territory, or area-specific notes, updates and errata",
• None,
