Coronavirus disease (COVID-19),,
Situation Report – 110,,
"Data as received by WHO from national authorities by 10:00 CEST, 9 May 2020",,
This report has been reformatted to improve accessibility for persons with visual impairment.,,
Highlights,,
The Emergency Relief Coordinator/UN Under-Secretary-General for Humanitarian Affairs Mark Lowcock,,
launched an update to the Global Humanitarian Response Plan for COVID-19 (GHRP). He was joined by,,
"the Executive Director of WHO’s Health Emergencies Programme, Dr Mike Ryan; the President and CEO",,
"of Oxfam America, Abby Maxman; the UN High Commissioner for Refugees, Filippo Grandi; and the",,
"Executive Director of the World Food Programme, David Beasley. The GHRP has a funding requirement",,
of U$6.7 billion to protect millions of people already facing humanitarian crises in several countries. For,,
"more information, a UN News Story and YouTube recording is available.",,
New interim guidance has been released by the Inter-Agency Standing Committee on how to adapt,,
COVID-19 prevention and response measures for use in low capacity and humanitarian settings.,,
WHO has released a video summarising key moments in the response so far.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,3 855 788 cases (95 845),265 862 deaths (6388)
Africa,40 544 cases (2851),1322 deaths (47)
Americas,1 636 841 cases (50 712),91 893 deaths (3963)
Eastern Mediterranean,246 022 cases (8699),8748 deaths (140)
Europe,1 682 338 cases (27 993),154 233 deaths (2054)
South-East Asia,90 808 cases (4514),3204 deaths (129)
Western Pacific,1 585 23 cases (1076),6449 deaths (55)

Surveillance
"Figure 1. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 3 May to 9 May**"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December 2019 through 9 May 2020**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST, 9 May 2020**",,,,,,
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Mozambique,82,1,0,0,Sporadic cases,0
Malawi,43,0,3,0,Sporadic cases,2
Eritrea,39,0,0,0,Sporadic cases,20
Angola,36,0,2,0,Sporadic cases,3
Zimbabwe,34,0,4,0,Sporadic cases,7
Botswana,23,0,1,0,Sporadic cases,10
Gambia,20,2,1,0,Sporadic cases,0
Burundi,19,0,1,0,Sporadic cases,6
Namibia,16,0,0,0,Sporadic cases,33
Seychelles,11,0,0,0,Sporadic cases,32

Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Comoros,8,0,1,0,Pending,2
Mauritania,8,0,1,0,Sporadic cases,8
Territoriesii,,,,,,
Mayotte,890,36,11,1,Clusters of cases,0
Réunion,430,3,0,0,Clusters of cases,0
Americas,,,,,,
United States of America,1 245 874,30 303,69 889,2743,Community transmission,0
Brazil,135 106,9888,9146,610,Community transmission,0
Canada,65 399,1504,4471,191,Community transmission,0
Peru,58 526,3709,1627,94,Community transmission,0
Ecuador,30 298,0,1654,0,Community transmission,1
Mexico,29 616,1982,2961,257,Community transmission,0
Chile,25 972,1391,294,9,Community transmission,0
Colombia,9456,497,407,10,Community transmission,0
Dominican Republic,9376,281,380,7,Community transmission,0
Panama,7868,137,225,7,Community transmission,0
Argentina,5530,225,289,14,Community transmission,0
Bolivia (Plurinational State of),2081,195,102,11,Clusters of cases,0
Cuba,1741,12,74,1,Clusters of cases,0
Honduras,1685,224,105,6,Community transmission,0
Guatemala,832,34,23,2,Clusters of cases,0
Costa Rica,765,4,6,0,Clusters of cases,0
El Salvador,742,47,15,0,Clusters of cases,0
Uruguay,684,11,17,0,Clusters of cases,0

Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Paraguay,563,101,10,0,Community transmission,0
Jamaica,488,10,9,0,Clusters of cases,0
"Venezuela (Bolivarian Republic
of)",381,2,10,0,Clusters of cases,0
Haiti,129,21,12,0,Clusters of cases,0
Trinidad and Tobago,116,0,8,0,Sporadic cases,11
Guyana,93,0,10,0,Clusters of cases,2
Bahamas,92,0,11,0,Clusters of cases,1
Barbados,82,0,7,0,Clusters of cases,4
Antigua and Barbuda,25,0,3,0,Clusters of cases,5
Grenada,21,0,0,0,Clusters of cases,5
Belize,18,0,2,0,Sporadic cases,24
Saint Lucia,18,0,0,0,Sporadic cases,4
"Saint Vincent and the
Grenadines",17,0,0,0,Sporadic cases,4
Dominica,16,0,0,0,Clusters of cases,28
Nicaragua,16,0,5,0,Pending,2
Saint Kitts and Nevis,15,0,0,0,Sporadic cases,18
Suriname,10,0,1,0,Sporadic cases,35
Territoriesii,,,,,,
Puerto Rico,2156,125,56,0,Clusters of cases,0
Martinique,183,1,14,0,Clusters of cases,0
Guadeloupe,154,1,13,0,Clusters of cases,0
French Guiana,141,3,1,0,Clusters of cases,0

Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Bermuda,118,0,7,0,Clusters of cases,1
Aruba,101,0,3,1,Sporadic cases,3
Cayman Islands,80,2,1,0,Clusters of cases,0
Sint Maarten,76,0,14,0,Sporadic cases,8
United States Virgin Islands,68,2,4,0,Clusters of cases,0
Saint Martin,38,0,3,0,Sporadic cases,16
Curaçao,16,0,1,0,Sporadic cases,11
Falkland Islands (Malvinas),13,0,0,0,Clusters of cases,13
Turks and Caicos Islands,12,0,1,0,Sporadic cases,11
Montserrat,11,0,1,0,Sporadic cases,25
British Virgin Islands,7,0,1,0,Sporadic cases,3
"Bonaire, Sint Eustatius and
Saba",6,0,0,0,Sporadic cases,11
Saint Barthélemy,6,0,0,0,Sporadic cases,39
Anguilla,3,0,0,0,Sporadic cases,35
Saint Pierre and Miquelon,1,0,0,0,Sporadic cases,31
Eastern Mediterranean,,,,,,
Iran (Islamic Republic of),104 691,1556,6541,55,Community transmission,0
Saudi Arabia,35 432,1701,229,10,Clusters of cases,0
Pakistan,27 474,1637,618,24,Clusters of cases,0
Qatar,20 201,1311,12,0,Community transmission,0
United Arab Emirates,16 793,553,174,9,Pending,0
Egypt,8476,495,503,21,Clusters of cases,0
Kuwait,7208,641,47,3,Clusters of cases,0

Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Morocco,5711,163,186,3,Clusters of cases,0
Bahrain,4444,245,8,0,Clusters of cases,0
Afghanistan,3563,0,105,0,Clusters of cases,1
Oman,3224,112,17,2,Clusters of cases,0
Iraq,2603,60,104,2,Clusters of cases,0
Djibouti,1135,2,3,0,Clusters of cases,0
Sudan,1111,181,59,7,Sporadic cases,0
Tunisia,1030,4,45,1,Community transmission,0
Somalia,928,0,44,0,Sporadic cases,1
Lebanon,796,12,26,1,Clusters of cases,0
Jordan,508,14,9,0,Clusters of cases,0
Libya,64,0,3,0,Clusters of cases,2
Syrian Arab Republic,47,2,3,0,Community transmission,0
Yemen,36,10,8,2,Pending,0
Territoriesii,,,,,,
occupied Palestinian territory,547,0,4,0,Clusters of cases,1
Europe,,,,,,
Spain,222 857,1410,26 251,181,Community transmission,0
Italy,217 185,1327,30 201,243,Community transmission,0
The United Kingdom,211 368,4649,31 241,626,Community transmission,0
Russian Federation,198 676,10 817,1827,104,Clusters of cases,0
Germany,168 551,1251,7369,103,Community transmission,0
France,136 578,598,26 188,242,Community transmission,0
Turkey,135 569,1848,3689,48,Community transmission,0

Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Belgium,52 011,591,8521,106,Community transmission,0
Netherlands,42 093,319,5359,71,Community transmission,0
Switzerland,30 168,125,1531,14,Community transmission,0
Portugal,27 268,553,1114,9,Community transmission,0
Sweden,25 265,642,3175,135,Community transmission,0
Ireland,22 541,156,1429,26,Community transmission,0
Belarus,21 101,933,121,5,Clusters of cases,0
Israel,16 444,98,245,6,Pending,0
Austria,15 735,62,614,5,Community transmission,0
Poland,15 366,319,776,21,Community transmission,0
Romania,14 811,312,898,22,Community transmission,0
Ukraine,14 710,515,376,15,Community transmission,0
Denmark,10 218,135,522,8,Pending,0
Serbia,9943,95,209,3,Pending,0
Czechia,8077,46,273,3,Community transmission,0
Norway,8034,39,213,4,Pending,0
Finland,5738,65,260,5,Pending,0
Kazakhstan,4922,344,31,1,Pending,0
Republic of Moldova,4728,123,159,14,Pending,0
Luxembourg,3871,12,100,0,Pending,0
Hungary,3213,35,405,13,Clusters of cases,0
Armenia,3175,146,44,1,Clusters of cases,0
Greece,2691,13,150,2,Community transmission,0
Uzbekistan,2336,22,10,0,Clusters of cases,0

Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Azerbaijan,2279,75,28,0,Clusters of cases,0
Croatia,2161,36,86,0,Community transmission,0
Bosnia and Herzegovina,2070,43,97,8,Community transmission,0
Bulgaria,1911,82,88,4,Clusters of cases,0
Iceland,1801,0,10,0,Community transmission,1
Estonia,1725,5,56,0,Pending,0
North Macedonia,1586,14,90,1,Clusters of cases,0
Slovakia,1455,10,26,0,Clusters of cases,0
Slovenia,1450,1,100,1,Community transmission,0
Lithuania,1436,3,49,0,Community transmission,0
Kyrgyzstan,931,25,12,0,Clusters of cases,0
Latvia,928,19,18,0,Community transmission,0
Cyprus,891,2,21,0,Clusters of cases,0
Albania,856,6,31,0,Clusters of cases,0
Andorra,754,2,47,0,Community transmission,0
San Marino,632,0,41,0,Community transmission,1
Georgia,626,3,10,1,Community transmission,0
Tajikistan,522,61,18,2,Pending,0
Malta,489,3,5,0,Pending,0
Montenegro,324,0,8,0,Clusters of cases,3
Monaco,95,0,1,0,Sporadic cases,5
Liechtenstein,83,0,1,0,Pending,13
Holy See,12,0,0,0,Sporadic cases,2

Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
erritoriesii,,,,,,
Kosovo[1],862,1,28,1,Community transmission,0
Isle of Man,329,2,23,0,Pending,0
Jersey,293,0,25,0,Pending,3
Guernsey,252,0,13,0,Community transmission,6
Faroe Islands,187,0,0,0,Pending,15
Gibraltar,144,0,0,0,Clusters of cases,7
Greenland,11,0,0,0,Pending,33
South-East Asia,,,,,,
India,59 662,3320,1981,95,Clusters of cases,0
Bangladesh,13 134,709,206,20,Clusters of cases,0
Indonesia,13 112,336,943,13,Community transmission,0
Thailand,3004,4,56,1,Clusters of cases,0
Sri Lanka,835,38,9,0,Clusters of cases,0
Maldives,744,96,3,0,Clusters of cases,0
Myanmar,177,1,6,0,Clusters of cases,0
Nepal,109,10,0,0,Sporadic cases,0
Timor-Leste,24,0,0,0,Clusters of cases,15
Bhutan,7,0,0,0,Sporadic cases,16
Western Pacific,,,,,,
China,84 416,1,4643,0,Clusters of cases,0
Singapore,21 707,768,20,0,Clusters of cases,0
Japan,15 628,81,601,44,Clusters of cases,0
Republic of Korea,10 840,18,256,0,Clusters of cases,0

Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Philippines,10 463,120,696,11,Clusters of cases,0
Australia,6914,18,97,0,Clusters of cases,0
Malaysia,6535,68,107,0,Clusters of cases,0
New Zealand,1142,1,21,0,Clusters of cases,0
Viet Nam,288,0,0,0,Clusters of cases,1
Brunei Darussalam,141,0,1,0,Sporadic cases,1
Cambodia,122,0,0,0,Sporadic cases,27
Mongolia,42,1,0,0,Sporadic cases,0
"Lao People's Democratic
Republic",19,0,0,0,Sporadic cases,26
Fiji,18,0,0,0,Sporadic cases,18
Papua New Guinea,8,0,0,0,Sporadic cases,16
Territoriesii,,,,,,
Guam,147,0,5,0,Clusters of cases,2
French Polynesia,60,0,0,0,Sporadic cases,3
New Caledonia,18,0,0,0,Sporadic cases,36
Northern Mariana Islands,,,,,,
(Commonwealth of the),15,0,2,0,Pending,2
Subtotal for all regions,3 855 076,95 845,265 849,6388,,
Other*,,-,,,,54
,712,0,13,0,,
Grand total,,,,,,
,3 855 788,95 845,265 862,6388,,
"**See Annex 1 for data, table and figure notes.",,,,,,

Technical guidance and other resources,,,,
–,"To view all technical guidance documents regarding COVID-19, please go to this webpage.",,,
–,Updates from WHO regional offices,,,
,–,WHO AFRO,–,WHO PAHO
,–,WHO EMRO,–,WHO SEARO
,–,WHO EURO,–,WHO WPRO
–,Research and Development,,,
–,Online courses on COVID-19 and in additional national languages,,,
–,The Strategic Preparedness and Response Plan (SPRP) outlining the support the international,,,
,community can provide to all countries to prepare and respond to the virus.,,,
–,WHO Health Emergency dashboard,,,
–,Weekly COVID-19 Operations Updates,,,
Recommendations and advice for the public,,,,
–,Protect yourself.,,,
–,Questions and answers,,,
–,Travel advice,,,
–,"EPI-WIN: tailored information for individuals, organizations and communities",,,
Case definitions,,,,
WHO periodically updates the Global Surveillance for human infection with coronavirus disease,,,,
(COVID-19) document which includes surveillance definitions.,,,,
Definition of COVID-19 death,,,,
COVID-19 death is defined for surveillance purposes as a death resulting from a clinically,,,,
"compatible illness in a probable or confirmed COVID-19 case, unless there is a clear alternative",,,,
cause of death that cannot be related to COVID disease (e.g. trauma). There should be no period of,,,,
complete recovery between the illness and death.,,,,

"Annex 1: Data, table and figure notes",
Caution must be taken when interpreting all data presented. Differences are to be expected,
"between information products published by WHO, national public health authorities, and other",
sources using different inclusion criteria and different data cut-off times. While steps are taken to,
"ensure accuracy and reliability, all data are subject to continuous verification and change. Case",
"detection, definitions, testing strategies, reporting practice, and lag times differ between",
"countries/territories/areas. These factors, amongst others, influence the counts presented with",
"variable underestimation of true case and death counts, and variable delays to reflecting these data",
at global level.,
"The designations employed, and the presentation of these materials do not imply the expression of",
"any opinion whatsoever on the part of WHO concerning the legal status of any country, territory or",
"area or of its authorities, or concerning the delimitation of its frontiers or boundaries. Dotted and",
dashed lines on maps represent approximate border lines for which there may not yet be full,
"agreement. Countries, territories and areas are arranged under the administering WHO region.",
[1] All references to Kosovo should be understood to be in the context of the United Nations Security,
"Council resolution 1244 (1999). In the map, number of cases of Serbia and Kosovo (UNSCR 1244,",
1999) have been aggregated for visualization purposes.,
"Counts reflect laboratory-confirmed cases and deaths, based on WHO case definitions unless stated",
"otherwise (see Country, territory, or area-specific updates and errata), and include both domestic",
and repatriated cases.,
Other*: includes cases reported under the international conveyance (Diamond Princess).,
Due to the recent trend of countries conducting data reconciliation exercises which remove large,
"numbers of cases or deaths from their total counts, WHO will now display such data as negative",
numbers in the “new cases” / “new deaths” columns as appropriate. This will aid readers in,
identifying when such adjustments occur. When additional details become available that allow the,
"subtractions to be suitably apportioned to previous days, graphics will be updated accordingly. Prior",
situation reports will not be edited; see covid19.who.int for the most up-to-date data.,
Additional table notes,
i Transmission classification is based on a process of country/territory/area self -reporting.,
"Classifications are reviewed on a weekly basis, may be revised as new information becomes",
"available, and are based on the highest category reported. Differing degrees of transmission may be",
present within countries/territories/areas. Categories:,
•,No cases: with no confirmed cases (not shown in table).
•,"Sporadic cases: with one or more cases, imported or locally detected."
•,"Clusters of cases: experiencing cases, clustered in time, geographic location and/or by common"
,exposures.
•,Community transmission: experiencing larger outbreaks of local transmission defined through
,"an assessment of factors including, but not limited to: large numbers of cases not linkable to"
,transmission chains; large numbers of cases from sentinel lab surveillance; and/or multiple
,unrelated clusters in several areas of the country/territory/area.
•,Pending: transmission classification not been reported to WHO.
"ii “Territories” include territories, areas, overseas dependencies and other jurisdictions of similar",
status.,
"Country, territory, or area-specific updates and errata",
No major updates,
